,actions,transition,time
0,0,u1,2
1,1,t1,7
2,2,u2,19
3,3,t2,24
4,4,u3,36
5,5,t3,41
6,0,u1,43
7,1,t1,48
8,2,u2,60
9,3,t2,65
10,4,u3,77
11,5,t3,82
12,0,u1,84
13,1,t1,89
14,2,u2,101
15,3,t2,106
16,4,u3,118
17,5,t3,123
18,6,u4,2833
19,7,t4,2838
20,8,u5,2850
21,9,t5,2855
22,10,u6,2961
23,11,t6,2966
24,12,u7,2978
25,13,t7,2983
26,0,u1,2985
27,1,t1,2990
28,2,u2,3002
29,3,t2,3007
30,4,u3,3019
31,5,t3,3024
32,6,u4,3026
33,7,t4,3031
34,8,u5,3043
35,9,t5,3048
36,10,u6,3154
37,11,t6,3159
38,12,u7,3171
39,13,t7,3176
40,0,u1,3178
41,1,t1,3183
42,2,u2,3195
43,3,t2,3200
44,4,u3,3212
45,5,t3,3217
46,6,u4,3219
47,7,t4,3224
48,8,u5,3236
49,9,t5,3241
50,10,u6,3347
51,11,t6,3352
52,12,u7,3364
53,13,t7,3369
54,0,u1,3371
55,1,t1,3376
56,2,u2,3388
57,3,t2,3393
58,4,u3,3405
59,5,t3,3410
60,0,u1,3412
61,1,t1,3417
62,2,u2,3429
63,3,t2,3434
64,4,u3,3446
65,5,t3,3451
66,6,u4,5816
67,7,t4,5821
68,8,u5,5833
69,9,t5,5838
70,10,u6,5944
71,11,t6,5949
72,12,u7,5961
73,13,t7,5966
74,0,u1,5968
75,1,t1,5973
76,2,u2,5985
77,3,t2,5990
78,4,u3,6002
79,5,t3,6007
80,6,u4,6009
81,7,t4,6014
82,8,u5,6026
83,9,t5,6031
84,10,u6,6137
85,11,t6,6142
86,12,u7,6154
87,13,t7,6159
88,0,u1,6161
89,1,t1,6166
90,2,u2,6178
91,3,t2,6183
92,4,u3,6195
93,5,t3,6200
94,6,u4,6202
95,7,t4,6207
96,8,u5,6219
97,9,t5,6224
98,10,u6,6330
99,11,t6,6335
100,12,u7,6347
101,13,t7,6352
102,0,u1,6354
103,1,t1,6359
104,2,u2,6371
105,3,t2,6376
106,4,u3,6388
107,5,t3,6393
108,6,u4,6395
109,7,t4,6400
110,8,u5,6412
111,9,t5,6417
112,10,u6,6523
113,11,t6,6528
114,12,u7,6540
115,13,t7,6545
116,0,u1,6547
117,1,t1,6552
118,2,u2,6564
119,3,t2,6569
120,4,u3,6581
121,5,t3,6586
122,6,u4,8799
123,7,t4,8804
124,8,u5,8816
125,9,t5,8821
126,10,u6,8927
127,11,t6,8932
128,12,u7,8944
129,13,t7,8949
130,6,u4,8992
131,7,t4,8997
132,8,u5,9009
133,9,t5,9014
134,10,u6,9120
135,11,t6,9125
136,12,u7,9137
137,13,t7,9142
138,0,u1,9144
139,1,t1,9149
140,2,u2,9161
141,3,t2,9166
142,4,u3,9178
143,5,t3,9183
144,6,u4,9185
145,7,t4,9190
146,8,u5,9202
147,9,t5,9207
148,10,u6,9313
149,11,t6,9318
150,12,u7,9330
151,13,t7,9335
152,6,u4,9378
153,0,u1,9380
154,1,t1,9385
155,2,u2,9397
156,3,t2,9402
157,7,t4,9404
158,4,u3,9414
159,8,u5,9416
160,9,t5,9421
161,10,u6,9527
162,11,t6,9532
163,5,t3,9534
164,12,u7,9544
165,13,t7,9549
166,6,u4,11975
167,7,t4,11980
168,8,u5,11992
169,9,t5,11997
170,10,u6,12103
171,11,t6,12108
172,12,u7,12120
173,13,t7,12125
174,6,u4,12326
175,7,t4,12331
176,8,u5,12343
177,9,t5,12348
178,10,u6,12454
179,11,t6,12459
180,12,u7,12471
181,13,t7,12476
