,actions,transition,time
0,0,u1,2
1,1,t1,7
2,2,u2,19
3,3,t2,24
4,4,u3,36
5,5,t3,41
6,0,u1,43
7,1,t1,48
8,2,u2,60
9,3,t2,65
10,4,u3,77
11,5,t3,82
12,6,u4,2833
13,7,t4,2838
14,8,u5,2850
15,9,t5,2855
16,10,u6,2961
17,11,t6,2966
18,12,u7,2978
19,13,t7,2983
20,0,u1,2985
21,1,t1,2990
22,2,u2,3002
23,3,t2,3007
24,4,u3,3019
25,5,t3,3024
26,0,u1,3026
27,1,t1,3031
28,2,u2,3043
29,3,t2,3048
30,4,u3,3060
31,5,t3,3065
32,6,u4,3067
33,7,t4,3072
34,8,u5,3084
35,9,t5,3089
36,10,u6,3195
37,11,t6,3200
38,12,u7,3212
39,13,t7,3217
40,6,u4,5816
41,7,t4,5821
42,0,u1,5823
43,1,t1,5828
44,2,u2,5840
45,3,t2,5845
46,4,u3,5857
47,8,u5,5859
48,5,t3,5862
49,9,t5,5864
50,10,u6,5970
51,11,t6,5975
52,12,u7,5987
53,13,t7,5992
54,6,u4,5994
55,7,t4,5999
56,0,u1,6001
57,8,u5,6011
58,9,t5,6016
59,10,u6,6122
60,1,t1,6124
61,0,u1,6126
62,11,t6,6128
63,2,u2,6136
64,3,t2,6141
65,4,u3,6153
66,1,t1,6155
67,2,u2,6167
68,3,t2,6172
69,12,u7,6174
70,13,t7,6179
71,5,t3,6181
72,4,u3,6184
73,5,t3,6189
74,6,u4,8654
75,7,t4,8659
76,6,u4,8973
77,8,u5,8975
78,9,t5,8980
79,7,t4,8982
80,10,u6,9086
81,11,t6,9091
82,12,u7,9103
83,13,t7,9108
84,8,u5,9110
85,9,t5,9115
86,10,u6,9221
87,11,t6,9226
88,12,u7,9238
89,13,t7,9243
90,0,u1,9245
91,1,t1,9250
92,2,u2,9262
93,3,t2,9267
94,4,u3,9279
95,5,t3,9284
96,0,u1,9286
97,1,t1,9291
98,2,u2,9303
99,3,t2,9308
100,4,u3,9320
101,5,t3,9325
102,6,u4,9327
103,7,t4,9332
104,8,u5,9344
105,9,t5,9349
106,10,u6,9455
107,11,t6,9460
108,12,u7,9472
109,13,t7,9477
110,0,u1,9479
111,1,t1,9484
112,2,u2,9496
113,3,t2,9501
114,4,u3,9513
115,5,t3,9518
116,6,u4,12076
117,7,t4,12081
118,0,u1,12083
119,1,t1,12088
120,2,u2,12100
121,3,t2,12105
122,4,u3,12117
123,5,t3,12122
124,8,u5,12124
125,9,t5,12129
126,10,u6,12235
127,11,t6,12240
128,12,u7,12252
129,13,t7,12257
130,6,u4,12259
131,7,t4,12264
132,8,u5,12276
133,9,t5,12281
134,10,u6,12387
135,11,t6,12392
136,12,u7,12404
137,13,t7,12409
138,6,u4,12411
139,0,u1,12413
140,1,t1,12418
141,2,u2,12430
142,3,t2,12435
143,7,t4,12437
144,4,u3,12447
145,0,u1,12449
146,5,t3,12452
147,1,t1,12454
148,2,u2,12466
149,3,t2,12471
150,4,u3,12483
151,5,t3,12488
152,8,u5,12490
153,9,t5,12495
154,10,u6,12601
155,11,t6,12606
156,12,u7,12618
157,13,t7,12623
158,6,u4,14914
159,7,t4,14919
160,8,u5,14931
161,9,t5,14936
162,10,u6,15042
163,11,t6,15047
164,12,u7,15059
165,13,t7,15064
166,6,u4,15244
167,7,t4,15249
168,8,u5,15261
169,9,t5,15266
170,10,u6,15372
171,11,t6,15377
172,12,u7,15389
173,13,t7,15394
174,6,u4,15396
175,7,t4,15401
176,8,u5,15413
177,9,t5,15418
178,10,u6,15524
179,11,t6,15529
180,12,u7,15541
181,13,t7,15546
