,actions,transition,time
0,0,u1,2
1,1,t1,7
2,2,u2,19
3,3,t2,24
4,4,u3,36
5,5,t3,41
6,0,u1,43
7,1,t1,48
8,2,u2,60
9,3,t2,65
10,4,u3,77
11,5,t3,82
12,0,u1,84
13,1,t1,89
14,2,u2,101
15,3,t2,106
16,4,u3,118
17,5,t3,123
18,0,u1,125
19,1,t1,130
20,2,u2,142
21,3,t2,147
22,4,u3,159
23,5,t3,164
24,6,u4,2833
25,7,t4,2838
26,8,u5,2850
27,9,t5,2855
28,10,u6,2961
29,11,t6,2966
30,12,u7,2978
31,13,t7,2983
32,0,u1,2985
33,1,t1,2990
34,2,u2,3002
35,3,t2,3007
36,4,u3,3019
37,5,t3,3024
38,6,u4,3026
39,7,t4,3031
40,8,u5,3043
41,9,t5,3048
42,10,u6,3154
43,11,t6,3159
44,12,u7,3171
45,13,t7,3176
46,6,u4,3178
47,7,t4,3183
48,8,u5,3195
49,9,t5,3200
50,10,u6,3306
51,11,t6,3311
52,12,u7,3323
53,13,t7,3328
54,6,u4,3330
55,7,t4,3335
56,6,u4,5816
57,8,u5,5818
58,9,t5,5823
59,10,u6,5929
60,7,t4,5931
61,11,t6,5934
62,12,u7,5946
63,13,t7,5951
64,8,u5,5953
65,9,t5,5958
66,10,u6,6064
67,11,t6,6069
68,12,u7,6081
69,13,t7,6086
70,0,u1,6088
71,1,t1,6093
72,2,u2,6105
73,3,t2,6110
74,4,u3,6122
75,5,t3,6127
76,0,u1,6129
77,1,t1,6134
78,2,u2,6146
79,3,t2,6151
80,4,u3,6163
81,5,t3,6168
82,0,u1,6170
83,1,t1,6175
84,2,u2,6187
85,3,t2,6192
86,4,u3,6204
87,5,t3,6209
88,6,u4,8919
89,7,t4,8924
90,8,u5,8936
91,9,t5,8941
92,10,u6,9047
93,11,t6,9052
94,12,u7,9064
95,13,t7,9069
96,0,u1,9071
97,1,t1,9076
98,2,u2,9088
99,3,t2,9093
100,4,u3,9105
101,5,t3,9110
102,6,u4,9112
103,7,t4,9117
104,8,u5,9129
105,9,t5,9134
106,10,u6,9240
107,11,t6,9245
108,12,u7,9257
109,13,t7,9262
110,0,u1,9264
111,1,t1,9269
112,2,u2,9281
113,3,t2,9286
114,4,u3,9298
115,5,t3,9303
116,0,u1,9305
117,1,t1,9310
118,2,u2,9322
119,3,t2,9327
120,4,u3,9339
121,5,t3,9344
122,6,u4,9346
123,7,t4,9351
124,8,u5,9363
125,9,t5,9368
126,10,u6,9474
127,11,t6,9479
128,12,u7,9491
129,13,t7,9496
130,6,u4,11902
131,7,t4,11907
132,8,u5,11919
133,9,t5,11924
134,10,u6,12030
135,11,t6,12035
136,12,u7,12047
137,13,t7,12052
138,0,u1,12054
139,1,t1,12059
140,2,u2,12071
141,3,t2,12076
142,4,u3,12088
143,5,t3,12093
144,6,u4,12095
145,7,t4,12100
146,8,u5,12112
147,9,t5,12117
148,10,u6,12223
149,11,t6,12228
150,12,u7,12240
151,13,t7,12245
152,0,u1,12247
153,1,t1,12252
154,2,u2,12264
155,3,t2,12269
156,4,u3,12281
157,5,t3,12286
158,6,u4,12288
159,7,t4,12293
160,8,u5,12305
161,9,t5,12310
162,10,u6,12416
163,11,t6,12421
164,12,u7,12433
165,13,t7,12438
166,6,u4,14885
167,7,t4,14890
168,8,u5,14902
169,9,t5,14907
170,10,u6,15013
171,11,t6,15018
172,12,u7,15030
173,13,t7,15035
174,6,u4,15078
175,7,t4,15083
176,8,u5,15095
177,9,t5,15100
178,10,u6,15206
179,11,t6,15211
180,12,u7,15223
181,13,t7,15228
