,actions,transition,time
0,0,u1,2
1,1,t1,7
2,2,u2,19
3,3,t2,24
4,4,u3,36
5,5,t3,41
6,0,u1,43
7,1,t1,48
8,2,u2,60
9,3,t2,65
10,4,u3,77
11,5,t3,82
12,0,u1,84
13,1,t1,89
14,2,u2,101
15,3,t2,106
16,4,u3,118
17,5,t3,123
18,6,u4,2833
19,7,t4,2838
20,8,u5,2850
21,9,t5,2855
22,10,u6,2961
23,11,t6,2966
24,12,u7,2978
25,13,t7,2983
26,6,u4,2985
27,7,t4,2990
28,8,u5,3002
29,9,t5,3007
30,10,u6,3113
31,11,t6,3118
32,12,u7,3130
33,13,t7,3135
34,0,u1,3137
35,1,t1,3142
36,2,u2,3154
37,3,t2,3159
38,4,u3,3171
39,5,t3,3176
40,6,u4,3178
41,7,t4,3183
42,8,u5,3195
43,9,t5,3200
44,10,u6,3306
45,11,t6,3311
46,12,u7,3323
47,13,t7,3328
48,0,u1,3330
49,1,t1,3335
50,2,u2,3347
51,3,t2,3352
52,4,u3,3364
53,5,t3,3369
54,0,u1,3371
55,1,t1,3376
56,2,u2,3388
57,3,t2,3393
58,4,u3,3405
59,5,t3,3410
60,6,u4,5968
61,7,t4,5973
62,8,u5,5985
63,9,t5,5990
64,10,u6,6096
65,11,t6,6101
66,12,u7,6113
67,13,t7,6118
68,0,u1,6120
69,1,t1,6125
70,2,u2,6137
71,3,t2,6142
72,4,u3,6154
73,5,t3,6159
74,6,u4,6161
75,7,t4,6166
76,8,u5,6178
77,9,t5,6183
78,10,u6,6289
79,11,t6,6294
80,12,u7,6306
81,13,t7,6311
82,0,u1,6313
83,1,t1,6318
84,2,u2,6330
85,3,t2,6335
86,4,u3,6347
87,5,t3,6352
88,6,u4,6354
89,7,t4,6359
90,8,u5,6371
91,9,t5,6376
92,10,u6,6482
93,11,t6,6487
94,12,u7,6499
95,13,t7,6504
96,6,u4,8951
97,7,t4,8956
98,8,u5,8968
99,9,t5,8973
100,10,u6,9079
101,11,t6,9084
102,12,u7,9096
103,13,t7,9101
104,0,u1,9103
105,1,t1,9108
106,2,u2,9120
107,3,t2,9125
108,4,u3,9137
109,5,t3,9142
110,6,u4,9144
111,7,t4,9149
112,8,u5,9161
113,9,t5,9166
114,10,u6,9272
115,11,t6,9277
116,12,u7,9289
117,13,t7,9294
118,0,u1,9296
119,1,t1,9301
120,2,u2,9313
121,3,t2,9318
122,4,u3,9330
123,5,t3,9335
124,0,u1,9337
125,1,t1,9342
126,2,u2,9354
127,3,t2,9359
128,4,u3,9371
129,5,t3,9376
130,0,u1,9378
131,1,t1,9383
132,2,u2,9395
133,3,t2,9400
134,4,u3,9412
135,5,t3,9417
136,6,u4,11934
137,7,t4,11939
138,8,u5,11951
139,9,t5,11956
140,10,u6,12062
141,11,t6,12067
142,12,u7,12079
143,13,t7,12084
144,6,u4,12127
145,7,t4,12132
146,8,u5,12144
147,9,t5,12149
148,10,u6,12255
149,0,u1,12257
150,1,t1,12262
151,11,t6,12264
152,2,u2,12274
153,3,t2,12279
154,4,u3,12291
155,12,u7,12293
156,5,t3,12296
157,13,t7,12298
158,6,u4,12300
159,7,t4,12305
160,8,u5,12317
161,9,t5,12322
162,10,u6,12428
163,11,t6,12433
164,12,u7,12445
165,13,t7,12450
166,6,u4,12452
167,7,t4,12457
168,8,u5,12469
169,9,t5,12474
170,10,u6,12580
171,11,t6,12585
172,12,u7,12597
173,13,t7,12602
174,6,u4,15088
175,7,t4,15093
176,8,u5,15105
177,9,t5,15110
178,10,u6,15216
179,11,t6,15221
180,12,u7,15233
181,13,t7,15238
