,actions,transition,time
0,0,u1,2
1,1,t1,7
2,2,u2,19
3,3,t2,24
4,4,u3,36
5,0,u1,38
6,1,t1,43
7,2,u2,55
8,15,t8,60
9,14,u8,2852
10,9,t5,2857
11,10,u6,2963
12,5,t3,2965
13,11,t6,2968
14,12,u7,2980
15,13,t7,2985
16,0,u1,2987
17,1,t1,2992
18,2,u2,3004
19,3,t2,3009
20,4,u3,3021
21,5,t3,3026
22,0,u1,3028
23,1,t1,3033
24,2,u2,3045
25,3,t2,3050
26,4,u3,3062
27,5,t3,3067
28,6,u4,5757
29,7,t4,5762
30,8,u5,5774
31,9,t5,5779
32,10,u6,5885
33,11,t6,5890
34,12,u7,5902
35,6,u4,5904
36,13,t7,5907
37,7,t4,5909
38,8,u5,5921
39,9,t5,5926
40,10,u6,6032
41,11,t6,6037
42,12,u7,6049
43,13,t7,6054
44,0,u1,6056
45,1,t1,6061
46,2,u2,6073
47,3,t2,6078
48,4,u3,6090
49,5,t3,6095
50,0,u1,6097
51,1,t1,6102
52,2,u2,6114
53,3,t2,6119
54,4,u3,6131
55,5,t3,6136
56,6,u4,6138
57,7,t4,6143
58,8,u5,6155
59,9,t5,6160
60,10,u6,6266
61,11,t6,6271
62,12,u7,6283
63,13,t7,6288
64,0,u1,6290
65,1,t1,6295
66,2,u2,6307
67,3,t2,6312
68,4,u3,6324
69,5,t3,6329
70,0,u1,6331
71,1,t1,6336
72,2,u2,6348
73,3,t2,6353
74,4,u3,6365
75,5,t3,6370
76,6,u4,8887
77,7,t4,8892
78,8,u5,8904
79,9,t5,8909
80,10,u6,9015
81,11,t6,9020
82,12,u7,9032
83,13,t7,9037
84,6,u4,9039
85,7,t4,9044
86,8,u5,9056
87,9,t5,9061
88,10,u6,9167
89,11,t6,9172
90,12,u7,9184
91,13,t7,9189
92,0,u1,9191
93,1,t1,9196
94,2,u2,9208
95,3,t2,9213
96,4,u3,9225
97,5,t3,9230
98,6,u4,9232
99,7,t4,9237
100,8,u5,9249
101,9,t5,9254
102,10,u6,9360
103,11,t6,9365
104,12,u7,9377
105,13,t7,9382
106,6,u4,9384
107,0,u1,9386
108,1,t1,9391
109,2,u2,9403
110,3,t2,9408
111,7,t4,9410
112,4,u3,9420
113,8,u5,9422
114,9,t5,9427
115,10,u6,9533
116,11,t6,9538
117,12,u7,9550
118,13,t7,9555
119,0,u1,9557
120,1,t1,9562
121,2,u2,9574
122,3,t2,9579
123,5,t3,9581
124,4,u3,9591
125,5,t3,9596
126,0,u1,9598
127,1,t1,9603
128,2,u2,9615
129,3,t2,9620
130,4,u3,9632
131,5,t3,9637
132,6,u4,12022
133,7,t4,12027
134,8,u5,12039
135,9,t5,12044
136,10,u6,12150
137,11,t6,12155
138,12,u7,12167
139,13,t7,12172
140,6,u4,12373
141,7,t4,12378
142,8,u5,12390
143,9,t5,12395
144,10,u6,12501
145,11,t6,12506
146,12,u7,12518
147,13,t7,12523
148,0,u1,12525
149,1,t1,12530
150,2,u2,12542
151,3,t2,12547
152,4,u3,12559
153,5,t3,12564
154,6,u4,12566
155,7,t4,12571
156,8,u5,12583
157,9,t5,12588
158,10,u6,12694
159,11,t6,12699
160,12,u7,12711
161,13,t7,12716
162,6,u4,12718
163,7,t4,12723
164,8,u5,12735
165,9,t5,12740
166,10,u6,12846
167,11,t6,12851
168,12,u7,12863
169,13,t7,12868
170,6,u4,15356
171,7,t4,15361
172,8,u5,15373
173,9,t5,15378
174,10,u6,15484
175,11,t6,15489
176,12,u7,15501
177,13,t7,15506
