,actions,transition,time
0,0,u1,2
1,1,t1,7
2,2,u2,19
3,3,t2,24
4,4,u3,36
5,5,t3,41
6,0,u1,43
7,1,t1,48
8,2,u2,60
9,3,t2,65
10,4,u3,77
11,5,t3,82
12,6,u4,2833
13,7,t4,2838
14,8,u5,2850
15,9,t5,2855
16,10,u6,2961
17,11,t6,2966
18,12,u7,2978
19,13,t7,2983
20,0,u1,2985
21,1,t1,2990
22,2,u2,3002
23,3,t2,3007
24,4,u3,3019
25,5,t3,3024
26,6,u4,3026
27,7,t4,3031
28,8,u5,3043
29,9,t5,3048
30,10,u6,3154
31,11,t6,3159
32,12,u7,3171
33,13,t7,3176
34,0,u1,3178
35,1,t1,3183
36,2,u2,3195
37,3,t2,3200
38,4,u3,3212
39,5,t3,3217
40,0,u1,3219
41,1,t1,3224
42,2,u2,3236
43,3,t2,3241
44,4,u3,3253
45,5,t3,3258
46,0,u1,3260
47,1,t1,3265
48,2,u2,3277
49,3,t2,3282
50,4,u3,3294
51,5,t3,3299
52,6,u4,5816
53,7,t4,5821
54,8,u5,5833
55,9,t5,5838
56,10,u6,5944
57,11,t6,5949
58,12,u7,5961
59,13,t7,5966
60,6,u4,6009
61,7,t4,6014
62,8,u5,6026
63,9,t5,6031
64,10,u6,6137
65,11,t6,6142
66,12,u7,6154
67,13,t7,6159
68,6,u4,6161
69,7,t4,6166
70,8,u5,6178
71,9,t5,6183
72,10,u6,6289
73,11,t6,6294
74,12,u7,6306
75,13,t7,6311
76,0,u1,6313
77,1,t1,6318
78,2,u2,6330
79,3,t2,6335
80,4,u3,6347
81,5,t3,6352
82,0,u1,6354
83,1,t1,6359
84,2,u2,6371
85,3,t2,6376
86,4,u3,6388
87,5,t3,6393
88,6,u4,6395
89,7,t4,6400
90,8,u5,6412
91,9,t5,6417
92,10,u6,6523
93,11,t6,6528
94,12,u7,6540
95,13,t7,6545
96,6,u4,9144
97,7,t4,9149
98,8,u5,9161
99,9,t5,9166
100,10,u6,9272
101,11,t6,9277
102,12,u7,9289
103,13,t7,9294
104,0,u1,9296
105,1,t1,9301
106,2,u2,9313
107,3,t2,9318
108,4,u3,9330
109,5,t3,9335
110,6,u4,9337
111,7,t4,9342
112,8,u5,9354
113,9,t5,9359
114,10,u6,9465
115,11,t6,9470
116,12,u7,9482
117,13,t7,9487
118,0,u1,9489
119,1,t1,9494
120,2,u2,9506
121,3,t2,9511
122,4,u3,9523
123,5,t3,9528
124,0,u1,9530
125,1,t1,9535
126,2,u2,9547
127,3,t2,9552
128,4,u3,9564
129,5,t3,9569
130,6,u4,12127
131,7,t4,12132
132,8,u5,12144
133,9,t5,12149
134,10,u6,12255
135,11,t6,12260
136,12,u7,12272
137,13,t7,12277
138,0,u1,12279
139,1,t1,12284
140,2,u2,12296
141,3,t2,12301
142,4,u3,12313
143,5,t3,12318
144,0,u1,12320
145,1,t1,12325
146,2,u2,12337
147,3,t2,12342
148,4,u3,12354
149,5,t3,12359
150,6,u4,12361
151,7,t4,12366
152,8,u5,12378
153,9,t5,12383
154,10,u6,12489
155,11,t6,12494
156,12,u7,12506
157,13,t7,12511
158,6,u4,12513
159,7,t4,12518
160,8,u5,12530
161,9,t5,12535
162,10,u6,12641
163,11,t6,12646
164,12,u7,12658
165,13,t7,12663
166,6,u4,15110
167,7,t4,15115
168,8,u5,15127
169,9,t5,15132
170,10,u6,15238
171,11,t6,15243
172,12,u7,15255
173,13,t7,15260
174,6,u4,15262
175,7,t4,15267
176,8,u5,15279
177,9,t5,15284
178,10,u6,15390
179,11,t6,15395
180,12,u7,15407
181,13,t7,15412
