,actions,transition,time
0,0,u1,2
1,1,t1,7
2,2,u2,19
3,3,t2,24
4,4,u3,36
5,5,t3,41
6,0,u1,43
7,1,t1,48
8,2,u2,60
9,3,t2,65
10,4,u3,77
11,5,t3,82
12,0,u1,84
13,1,t1,89
14,2,u2,101
15,3,t2,106
16,4,u3,118
17,5,t3,123
18,0,u1,125
19,1,t1,130
20,2,u2,142
21,3,t2,147
22,4,u3,159
23,5,t3,164
24,6,u4,2833
25,7,t4,2838
26,8,u5,2850
27,9,t5,2855
28,10,u6,2961
29,11,t6,2966
30,12,u7,2978
31,13,t7,2983
32,6,u4,2985
33,7,t4,2990
34,8,u5,3002
35,9,t5,3007
36,10,u6,3113
37,11,t6,3118
38,12,u7,3130
39,13,t7,3135
40,6,u4,3137
41,7,t4,3142
42,8,u5,3154
43,9,t5,3159
44,10,u6,3265
45,11,t6,3270
46,12,u7,3282
47,13,t7,3287
48,0,u1,3289
49,1,t1,3294
50,2,u2,3306
51,3,t2,3311
52,4,u3,3323
53,5,t3,3328
54,0,u1,3330
55,1,t1,3335
56,2,u2,3347
57,3,t2,3352
58,4,u3,3364
59,5,t3,3369
60,6,u4,3371
61,7,t4,3376
62,8,u5,3388
63,9,t5,3393
64,10,u6,3499
65,11,t6,3504
66,12,u7,3516
67,13,t7,3521
68,0,u1,3523
69,1,t1,3528
70,2,u2,3540
71,3,t2,3545
72,4,u3,3557
73,5,t3,3562
74,0,u1,3564
75,1,t1,3569
76,2,u2,3581
77,3,t2,3586
78,4,u3,3598
79,5,t3,3603
80,6,u4,6120
81,7,t4,6125
82,8,u5,6137
83,9,t5,6142
84,10,u6,6248
85,11,t6,6253
86,12,u7,6265
87,13,t7,6270
88,6,u4,6272
89,7,t4,6277
90,8,u5,6289
91,9,t5,6294
92,10,u6,6400
93,11,t6,6405
94,12,u7,6417
95,13,t7,6422
96,6,u4,6424
97,7,t4,6429
98,8,u5,6441
99,9,t5,6446
100,10,u6,6552
101,11,t6,6557
102,12,u7,6569
103,13,t7,6574
104,6,u4,6576
105,7,t4,6581
106,8,u5,6593
107,9,t5,6598
108,10,u6,6704
109,11,t6,6709
110,12,u7,6721
111,13,t7,6726
112,0,u1,6728
113,1,t1,6733
114,2,u2,6745
115,3,t2,6750
116,4,u3,6762
117,5,t3,6767
118,0,u1,6769
119,1,t1,6774
120,2,u2,6786
121,3,t2,6791
122,4,u3,6803
123,5,t3,6808
124,0,u1,6810
125,1,t1,6815
126,2,u2,6827
127,3,t2,6832
128,4,u3,6844
129,5,t3,6849
130,6,u4,9559
131,7,t4,9564
132,8,u5,9576
133,9,t5,9581
134,10,u6,9687
135,11,t6,9692
136,12,u7,9704
137,13,t7,9709
138,0,u1,9711
139,1,t1,9716
140,2,u2,9728
141,3,t2,9733
142,4,u3,9745
143,5,t3,9750
144,0,u1,9752
145,1,t1,9757
146,2,u2,9769
147,3,t2,9774
148,4,u3,9786
149,5,t3,9791
150,6,u4,9793
151,7,t4,9798
152,8,u5,9810
153,9,t5,9815
154,10,u6,9921
155,11,t6,9926
156,12,u7,9938
157,13,t7,9943
158,6,u4,9945
159,7,t4,9950
160,8,u5,9962
161,9,t5,9967
162,10,u6,10073
163,11,t6,10078
164,12,u7,10090
165,13,t7,10095
166,6,u4,12542
167,7,t4,12547
168,8,u5,12559
169,9,t5,12564
170,10,u6,12670
171,11,t6,12675
172,12,u7,12687
173,13,t7,12692
174,6,u4,12694
175,7,t4,12699
176,8,u5,12711
177,9,t5,12716
178,10,u6,12822
179,11,t6,12827
180,12,u7,12839
181,13,t7,12844
