,actions,transition,time
0,0,u1,2
1,1,t1,7
2,2,u2,19
3,3,t2,24
4,4,u3,36
5,5,t3,41
6,0,u1,43
7,1,t1,48
8,2,u2,60
9,3,t2,65
10,4,u3,77
11,5,t3,82
12,6,u4,2833
13,7,t4,2838
14,8,u5,2850
15,9,t5,2855
16,10,u6,2961
17,11,t6,2966
18,12,u7,2978
19,13,t7,2983
20,0,u1,2985
21,1,t1,2990
22,2,u2,3002
23,3,t2,3007
24,4,u3,3019
25,5,t3,3024
26,0,u1,3026
27,1,t1,3031
28,2,u2,3043
29,3,t2,3048
30,4,u3,3060
31,5,t3,3065
32,6,u4,3067
33,7,t4,3072
34,8,u5,3084
35,9,t5,3089
36,10,u6,3195
37,11,t6,3200
38,12,u7,3212
39,13,t7,3217
40,6,u4,5816
41,7,t4,5821
42,8,u5,5833
43,9,t5,5838
44,10,u6,5944
45,11,t6,5949
46,12,u7,5961
47,13,t7,5966
48,0,u1,5968
49,1,t1,5973
50,2,u2,5985
51,3,t2,5990
52,4,u3,6002
53,0,u1,6004
54,1,t1,6009
55,2,u2,6021
56,3,t2,6026
57,5,t3,6028
58,4,u3,6038
59,5,t3,6043
60,6,u4,6045
61,7,t4,6050
62,8,u5,6062
63,9,t5,6067
64,10,u6,6173
65,11,t6,6178
66,12,u7,6190
67,13,t7,6195
68,0,u1,6197
69,1,t1,6202
70,2,u2,6214
71,3,t2,6219
72,4,u3,6231
73,5,t3,6236
74,6,u4,8820
75,7,t4,8825
76,8,u5,8837
77,9,t5,8842
78,10,u6,8948
79,11,t6,8953
80,12,u7,8965
81,13,t7,8970
82,0,u1,8972
83,1,t1,8977
84,2,u2,8989
85,3,t2,8994
86,4,u3,9006
87,5,t3,9011
88,6,u4,9013
89,7,t4,9018
90,8,u5,9030
91,9,t5,9035
92,10,u6,9141
93,11,t6,9146
94,12,u7,9158
95,13,t7,9163
96,6,u4,9165
97,7,t4,9170
98,8,u5,9182
99,9,t5,9187
100,10,u6,9293
101,11,t6,9298
102,12,u7,9310
103,13,t7,9315
104,0,u1,9317
105,1,t1,9322
106,2,u2,9334
107,3,t2,9339
108,4,u3,9351
109,5,t3,9356
110,6,u4,11803
111,7,t4,11808
112,8,u5,11820
113,9,t5,11825
114,10,u6,11931
115,11,t6,11936
116,12,u7,11948
117,13,t7,11953
118,0,u1,11955
119,1,t1,11960
120,2,u2,11972
121,3,t2,11977
122,4,u3,11989
123,5,t3,11994
124,6,u4,12148
125,7,t4,12153
126,8,u5,12165
127,9,t5,12170
128,10,u6,12276
129,11,t6,12281
130,12,u7,12293
131,13,t7,12298
132,6,u4,14786
133,7,t4,14791
134,8,u5,14803
135,9,t5,14808
136,10,u6,14914
137,11,t6,14919
138,12,u7,14931
139,13,t7,14936
140,0,u1,14938
141,1,t1,14943
142,2,u2,14955
143,3,t2,14960
144,4,u3,14972
145,0,u1,14974
146,5,t3,14977
147,1,t1,14979
148,2,u2,14991
149,3,t2,14996
150,4,u3,15008
151,5,t3,15013
152,6,u4,17769
153,7,t4,17774
154,8,u5,17786
155,9,t5,17791
156,10,u6,17897
157,11,t6,17902
158,12,u7,17914
159,13,t7,17919
160,0,u1,17921
161,1,t1,17926
162,2,u2,17938
163,3,t2,17943
164,4,u3,17955
165,5,t3,17960
166,6,u4,17962
167,7,t4,17967
168,8,u5,17979
169,9,t5,17984
170,10,u6,18090
171,11,t6,18095
172,12,u7,18107
173,13,t7,18112
174,6,u4,20752
175,7,t4,20757
176,8,u5,20769
177,9,t5,20774
178,10,u6,20880
179,11,t6,20885
180,12,u7,20897
181,13,t7,20902
