,actions,transition,time
0,0,u1,2
1,1,t1,7
2,2,u2,19
3,3,t2,24
4,4,u3,36
5,5,t3,41
6,0,u1,43
7,1,t1,48
8,2,u2,60
9,3,t2,65
10,4,u3,77
11,5,t3,82
12,6,u4,2833
13,7,t4,2838
14,8,u5,2850
15,9,t5,2855
16,10,u6,2961
17,11,t6,2966
18,12,u7,2978
19,13,t7,2983
20,0,u1,2985
21,1,t1,2990
22,2,u2,3002
23,3,t2,3007
24,4,u3,3019
25,5,t3,3024
26,6,u4,3026
27,7,t4,3031
28,8,u5,3043
29,6,u4,5816
30,9,t5,5818
31,10,u6,5924
32,11,t6,5929
33,7,t4,5931
34,12,u7,5941
35,8,u5,5943
36,13,t7,5946
37,9,t5,5948
38,10,u6,6054
39,0,u1,6056
40,11,t6,6059
41,1,t1,6061
42,2,u2,6073
43,3,t2,6078
44,4,u3,6090
45,12,u7,6092
46,5,t3,6095
47,13,t7,6097
48,6,u4,8887
49,0,u1,8889
50,1,t1,8894
51,2,u2,8906
52,3,t2,8911
53,7,t4,8913
54,4,u3,8923
55,5,t3,8928
56,8,u5,8930
57,9,t5,8935
58,10,u6,9041
59,11,t6,9046
60,12,u7,9058
61,13,t7,9063
62,0,u1,9065
63,1,t1,9070
64,2,u2,9082
65,3,t2,9087
66,4,u3,9099
67,5,t3,9104
68,6,u4,11720
69,7,t4,11725
70,8,u5,11737
71,0,u1,11739
72,9,t5,11742
73,10,u6,11848
74,1,t1,11850
75,11,t6,11853
76,2,u2,11862
77,3,t2,11867
78,4,u3,11879
79,5,t3,11884
80,12,u7,11886
81,13,t7,11891
82,0,u1,11893
83,1,t1,11898
84,2,u2,11910
85,3,t2,11915
86,4,u3,11927
87,5,t3,11932
88,6,u4,11934
89,7,t4,11939
90,6,u4,14676
91,7,t4,14681
92,8,u5,14683
93,9,t5,14688
94,10,u6,14794
95,11,t6,14799
96,8,u5,14801
97,9,t5,14806
98,10,u6,14912
99,11,t6,14917
100,12,u7,14919
101,13,t7,14924
102,12,u7,14929
103,13,t7,14934
104,0,u1,14936
105,1,t1,14941
106,2,u2,14953
107,3,t2,14958
108,4,u3,14970
109,5,t3,14975
110,6,u4,14977
111,7,t4,14982
112,8,u5,14994
113,9,t5,14999
114,10,u6,15105
115,11,t6,15110
116,12,u7,15122
117,13,t7,15127
118,0,u1,15129
119,1,t1,15134
120,2,u2,15146
121,3,t2,15151
122,4,u3,15163
123,5,t3,15168
124,6,u4,17767
125,0,u1,17769
126,1,t1,17774
127,2,u2,17786
128,3,t2,17791
129,7,t4,17793
130,4,u3,17803
131,8,u5,17805
132,5,t3,17808
133,9,t5,17810
134,10,u6,17916
135,11,t6,17921
136,6,u4,17960
137,7,t4,17965
138,6,u4,20600
139,12,u7,20602
140,8,u5,20604
141,7,t4,20606
142,9,t5,20609
143,10,u6,20715
144,11,t6,20720
145,13,t7,20722
146,12,u7,20732
147,13,t7,20737
148,8,u5,20739
149,9,t5,20744
150,10,u6,20850
151,0,u1,20852
152,11,t6,20855
153,1,t1,20857
154,12,u7,20867
155,2,u2,20869
156,3,t2,20874
157,4,u3,20886
158,5,t3,20891
159,13,t7,20893
160,0,u1,20895
161,1,t1,20900
162,2,u2,20912
163,3,t2,20917
164,4,u3,20929
165,5,t3,20934
166,6,u4,23683
167,7,t4,23688
168,8,u5,23700
169,9,t5,23705
170,10,u6,23811
171,11,t6,23816
172,12,u7,23828
173,13,t7,23833
174,6,u4,23835
175,7,t4,23840
176,8,u5,23852
177,9,t5,23857
178,10,u6,23963
179,11,t6,23968
180,12,u7,23980
181,13,t7,23985
