,actions,transition,time
0,0,u1,2
1,1,t1,7
2,2,u2,19
3,3,t2,24
4,4,u3,36
5,5,t3,41
6,0,u1,43
7,1,t1,48
8,2,u2,60
9,3,t2,65
10,4,u3,77
11,5,t3,82
12,6,u4,2833
13,7,t4,2838
14,6,u4,2874
15,7,t4,2879
16,8,u5,2881
17,9,t5,2886
18,10,u6,2992
19,11,t6,2997
20,12,u7,3009
21,8,u5,3011
22,9,t5,3016
23,10,u6,3122
24,11,t6,3127
25,13,t7,3129
26,12,u7,3139
27,13,t7,3144
28,0,u1,3146
29,1,t1,3151
30,2,u2,3163
31,3,t2,3168
32,4,u3,3180
33,5,t3,3185
34,0,u1,3187
35,1,t1,3192
36,2,u2,3204
37,3,t2,3209
38,4,u3,3221
39,5,t3,3226
40,0,u1,3228
41,1,t1,3233
42,2,u2,3245
43,3,t2,3250
44,4,u3,3262
45,5,t3,3267
46,6,u4,5977
47,7,t4,5982
48,6,u4,6018
49,7,t4,6023
50,6,u4,6059
51,8,u5,6061
52,9,t5,6066
53,10,u6,6172
54,7,t4,6174
55,11,t6,6177
56,12,u7,6189
57,13,t7,6194
58,8,u5,6196
59,9,t5,6201
60,10,u6,6307
61,11,t6,6312
62,12,u7,6324
63,8,u5,6326
64,9,t5,6331
65,10,u6,6437
66,11,t6,6442
67,13,t7,6444
68,12,u7,6454
69,13,t7,6459
70,0,u1,6461
71,1,t1,6466
72,2,u2,6478
73,3,t2,6483
74,4,u3,6495
75,5,t3,6500
76,0,u1,6502
77,1,t1,6507
78,2,u2,6519
79,3,t2,6524
80,4,u3,6536
81,5,t3,6541
82,0,u1,6543
83,1,t1,6548
84,2,u2,6560
85,3,t2,6565
86,4,u3,6577
87,5,t3,6582
88,6,u4,9292
89,7,t4,9297
90,6,u4,9333
91,7,t4,9338
92,6,u4,9374
93,8,u5,9376
94,7,t4,9379
95,9,t5,9381
96,10,u6,9487
97,11,t6,9492
98,12,u7,9504
99,8,u5,9506
100,9,t5,9511
101,10,u6,9617
102,11,t6,9622
103,13,t7,9624
104,12,u7,9634
105,13,t7,9639
106,8,u5,9641
107,9,t5,9646
108,10,u6,9752
109,11,t6,9757
110,12,u7,9769
111,13,t7,9774
112,0,u1,9776
113,1,t1,9781
114,2,u2,9793
115,3,t2,9798
116,4,u3,9810
117,5,t3,9815
118,0,u1,9817
119,1,t1,9822
120,2,u2,9834
121,3,t2,9839
122,4,u3,9851
123,5,t3,9856
124,0,u1,9858
125,1,t1,9863
126,2,u2,9875
127,3,t2,9880
128,4,u3,9892
129,5,t3,9897
130,6,u4,12607
131,7,t4,12612
132,6,u4,12648
133,7,t4,12653
134,6,u4,12689
135,8,u5,12691
136,7,t4,12694
137,9,t5,12696
138,10,u6,12802
139,11,t6,12807
140,12,u7,12819
141,8,u5,12821
142,9,t5,12826
143,10,u6,12932
144,11,t6,12937
145,8,u5,12939
146,9,t5,12944
147,10,u6,13050
148,11,t6,13055
149,13,t7,13057
150,12,u7,13059
151,13,t7,13064
152,12,u7,13067
153,13,t7,13072
154,0,u1,13074
155,1,t1,13079
156,2,u2,13091
157,3,t2,13096
158,4,u3,13108
159,5,t3,13113
160,0,u1,13115
161,1,t1,13120
162,2,u2,13132
163,3,t2,13137
164,4,u3,13149
165,5,t3,13154
166,6,u4,15905
167,7,t4,15910
168,6,u4,15946
169,7,t4,15951
170,8,u5,15953
171,9,t5,15958
172,10,u6,16064
173,11,t6,16069
174,12,u7,16081
175,8,u5,16083
176,9,t5,16088
177,10,u6,16194
178,11,t6,16199
179,13,t7,16201
180,12,u7,16211
181,13,t7,16216
