,actions,transition,time
0,0,u1,2
1,1,t1,7
2,2,u2,19
3,3,t2,24
4,4,u3,36
5,5,t3,41
6,0,u1,43
7,1,t1,48
8,2,u2,60
9,3,t2,65
10,4,u3,77
11,5,t3,82
12,0,u1,84
13,1,t1,89
14,2,u2,101
15,3,t2,106
16,4,u3,118
17,5,t3,123
18,0,u1,125
19,1,t1,130
20,2,u2,142
21,3,t2,147
22,4,u3,159
23,5,t3,164
24,6,u4,2833
25,7,t4,2838
26,8,u5,2850
27,9,t5,2855
28,10,u6,2961
29,11,t6,2966
30,12,u7,2978
31,13,t7,2983
32,0,u1,2985
33,1,t1,2990
34,2,u2,3002
35,3,t2,3007
36,4,u3,3019
37,5,t3,3024
38,6,u4,3026
39,7,t4,3031
40,8,u5,3043
41,9,t5,3048
42,10,u6,3154
43,11,t6,3159
44,12,u7,3171
45,13,t7,3176
46,0,u1,3178
47,1,t1,3183
48,2,u2,3195
49,3,t2,3200
50,4,u3,3212
51,5,t3,3217
52,6,u4,3219
53,7,t4,3224
54,8,u5,3236
55,9,t5,3241
56,10,u6,3347
57,11,t6,3352
58,12,u7,3364
59,13,t7,3369
60,0,u1,3371
61,1,t1,3376
62,2,u2,3388
63,3,t2,3393
64,4,u3,3405
65,5,t3,3410
66,6,u4,3412
67,7,t4,3417
68,8,u5,3429
69,9,t5,3434
70,10,u6,3540
71,11,t6,3545
72,12,u7,3557
73,13,t7,3562
74,6,u4,5816
75,0,u1,5818
76,1,t1,5823
77,2,u2,5835
78,3,t2,5840
79,7,t4,5842
80,4,u3,5852
81,5,t3,5857
82,8,u5,5859
83,9,t5,5864
84,10,u6,5970
85,11,t6,5975
86,12,u7,5987
87,13,t7,5992
88,0,u1,5994
89,1,t1,5999
90,2,u2,6011
91,3,t2,6016
92,4,u3,6028
93,5,t3,6033
94,6,u4,6035
95,7,t4,6040
96,8,u5,6052
97,9,t5,6057
98,10,u6,6163
99,11,t6,6168
100,12,u7,6180
101,13,t7,6185
102,0,u1,6187
103,1,t1,6192
104,2,u2,6204
105,3,t2,6209
106,4,u3,6221
107,5,t3,6226
108,6,u4,6228
109,7,t4,6233
110,8,u5,6245
111,9,t5,6250
112,10,u6,6356
113,11,t6,6361
114,12,u7,6373
115,13,t7,6378
116,6,u4,8649
117,7,t4,8654
118,8,u5,8666
119,9,t5,8671
120,10,u6,8777
121,11,t6,8782
122,12,u7,8794
123,13,t7,8799
124,0,u1,8801
125,1,t1,8806
126,2,u2,8818
127,3,t2,8823
128,4,u3,8835
129,5,t3,8840
130,6,u4,8842
131,0,u1,8844
132,1,t1,8849
133,0,u1,8851
134,2,u2,8861
135,3,t2,8866
136,7,t4,8868
137,4,u3,8878
138,5,t3,8883
139,8,u5,8885
140,9,t5,8890
141,10,u6,8996
142,11,t6,9001
143,1,t1,9003
144,2,u2,9015
145,3,t2,9020
146,4,u3,9032
147,5,t3,9037
148,12,u7,9039
149,13,t7,9044
150,6,u4,9046
151,7,t4,9051
152,8,u5,9063
153,9,t5,9068
154,10,u6,9174
155,11,t6,9179
156,12,u7,9191
157,13,t7,9196
158,6,u4,11632
159,7,t4,11637
160,8,u5,11649
161,9,t5,11654
162,10,u6,11760
163,11,t6,11765
164,12,u7,11777
165,13,t7,11782
166,6,u4,11784
167,7,t4,11789
168,8,u5,11801
169,9,t5,11806
170,10,u6,11912
171,11,t6,11917
172,12,u7,11929
173,13,t7,11934
174,6,u4,11936
175,7,t4,11941
176,8,u5,11953
177,9,t5,11958
178,10,u6,12064
179,11,t6,12069
180,12,u7,12081
181,13,t7,12086
