,actions,transition,time
0,0,u1,2
1,1,t1,7
2,2,u2,19
3,3,t2,24
4,4,u3,36
5,5,t3,41
6,0,u1,43
7,1,t1,48
8,2,u2,60
9,3,t2,65
10,4,u3,77
11,5,t3,82
12,0,u1,84
13,1,t1,89
14,2,u2,101
15,3,t2,106
16,4,u3,118
17,5,t3,123
18,0,u1,125
19,1,t1,130
20,2,u2,142
21,3,t2,147
22,4,u3,159
23,5,t3,164
24,6,u4,2833
25,7,t4,2838
26,6,u4,2874
27,7,t4,2879
28,6,u4,2915
29,8,u5,2917
30,9,t5,2922
31,10,u6,3028
32,7,t4,3030
33,11,t6,3033
34,12,u7,3045
35,6,u4,3047
36,8,u5,3049
37,7,t4,3052
38,9,t5,3054
39,10,u6,3160
40,11,t6,3165
41,8,u5,3167
42,9,t5,3172
43,10,u6,3278
44,11,t6,3283
45,8,u5,3285
46,9,t5,3290
47,10,u6,3396
48,13,t7,3398
49,12,u7,3400
50,11,t6,3402
51,13,t7,3405
52,12,u7,3407
53,13,t7,3412
54,12,u7,3414
55,13,t7,3419
56,0,u1,3421
57,1,t1,3426
58,2,u2,3438
59,3,t2,3443
60,4,u3,3455
61,5,t3,3460
62,0,u1,3462
63,1,t1,3467
64,2,u2,3479
65,3,t2,3484
66,4,u3,3496
67,5,t3,3501
68,0,u1,3503
69,1,t1,3508
70,2,u2,3520
71,3,t2,3525
72,4,u3,3537
73,5,t3,3542
74,0,u1,3544
75,1,t1,3549
76,2,u2,3561
77,3,t2,3566
78,4,u3,3578
79,5,t3,3583
80,6,u4,6252
81,7,t4,6257
82,6,u4,6293
83,7,t4,6298
84,6,u4,6334
85,8,u5,6336
86,9,t5,6341
87,10,u6,6447
88,11,t6,6452
89,7,t4,6454
90,12,u7,6464
91,6,u4,6466
92,8,u5,6468
93,7,t4,6471
94,9,t5,6473
95,10,u6,6579
96,11,t6,6584
97,8,u5,6586
98,9,t5,6591
99,10,u6,6697
100,11,t6,6702
101,8,u5,6704
102,9,t5,6709
103,10,u6,6815
104,13,t7,6817
105,12,u7,6819
106,11,t6,6821
107,13,t7,6824
108,12,u7,6826
109,13,t7,6831
110,12,u7,6833
111,13,t7,6838
112,0,u1,6840
113,1,t1,6845
114,2,u2,6857
115,3,t2,6862
116,4,u3,6874
117,5,t3,6879
118,0,u1,6881
119,1,t1,6886
120,2,u2,6898
121,3,t2,6903
122,4,u3,6915
123,5,t3,6920
124,0,u1,6922
125,1,t1,6927
126,2,u2,6939
127,3,t2,6944
128,4,u3,6956
129,5,t3,6961
130,6,u4,9671
131,7,t4,9676
132,8,u5,9688
133,9,t5,9693
134,10,u6,9799
135,11,t6,9804
136,12,u7,9816
137,6,u4,9818
138,7,t4,9823
139,6,u4,9825
140,8,u5,9835
141,7,t4,9837
142,9,t5,9840
143,10,u6,9946
144,11,t6,9951
145,13,t7,9953
146,12,u7,9963
147,8,u5,9965
148,9,t5,9970
149,10,u6,10076
150,11,t6,10081
151,13,t7,10083
152,12,u7,10093
153,13,t7,10098
154,0,u1,10100
155,1,t1,10105
156,2,u2,10117
157,3,t2,10122
158,4,u3,10134
159,5,t3,10139
160,0,u1,10141
161,1,t1,10146
162,2,u2,10158
163,3,t2,10163
164,4,u3,10175
165,5,t3,10180
166,6,u4,12931
167,7,t4,12936
168,8,u5,12948
169,9,t5,12953
170,10,u6,13059
171,11,t6,13064
172,12,u7,13076
173,13,t7,13081
174,6,u4,13083
175,7,t4,13088
176,8,u5,13100
177,9,t5,13105
178,10,u6,13211
179,11,t6,13216
180,12,u7,13228
181,13,t7,13233
