,actions,transition,time
0,0,u1,2
1,1,t1,7
2,2,u2,19
3,3,t2,24
4,4,u3,36
5,5,t3,41
6,6,u4,2833
7,7,t4,2838
8,8,u5,2850
9,9,t5,2855
10,10,u6,2961
11,11,t6,2966
12,12,u7,2978
13,13,t7,2983
14,0,u1,2985
15,1,t1,2990
16,2,u2,3002
17,3,t2,3007
18,4,u3,3019
19,5,t3,3024
20,6,u4,5816
21,7,t4,5821
22,8,u5,5833
23,9,t5,5838
24,10,u6,5944
25,11,t6,5949
26,12,u7,5961
27,13,t7,5966
28,0,u1,5968
29,1,t1,5973
30,2,u2,5985
31,3,t2,5990
32,4,u3,6002
33,5,t3,6007
34,0,u1,6009
35,1,t1,6014
36,2,u2,6026
37,3,t2,6031
38,4,u3,6043
39,5,t3,6048
40,6,u4,8799
41,7,t4,8804
42,8,u5,8816
43,9,t5,8821
44,10,u6,8927
45,11,t6,8932
46,12,u7,8944
47,13,t7,8949
48,0,u1,8951
49,1,t1,8956
50,2,u2,8968
51,3,t2,8973
52,4,u3,8985
53,5,t3,8990
54,6,u4,8992
55,7,t4,8997
56,8,u5,9009
57,9,t5,9014
58,10,u6,9120
59,11,t6,9125
60,12,u7,9137
61,13,t7,9142
62,6,u4,11782
63,7,t4,11787
64,8,u5,11799
65,9,t5,11804
66,10,u6,11910
67,11,t6,11915
68,0,u1,11917
69,1,t1,11922
70,2,u2,11934
71,3,t2,11939
72,12,u7,11941
73,4,u3,11951
74,5,t3,11956
75,13,t7,11958
76,0,u1,11960
77,1,t1,11965
78,2,u2,11977
79,3,t2,11982
80,4,u3,11994
81,5,t3,11999
82,6,u4,14748
83,7,t4,14753
84,8,u5,14765
85,9,t5,14770
86,10,u6,14876
87,11,t6,14881
88,12,u7,14893
89,13,t7,14898
90,0,u1,14900
91,1,t1,14905
92,2,u2,14917
93,3,t2,14922
94,4,u3,14934
95,5,t3,14939
96,6,u4,14941
97,7,t4,14946
98,8,u5,14958
99,9,t5,14963
100,10,u6,15069
101,11,t6,15074
102,12,u7,15086
103,13,t7,15091
104,0,u1,15093
105,1,t1,15098
106,2,u2,15110
107,3,t2,15115
108,4,u3,15127
109,5,t3,15132
110,6,u4,17731
111,7,t4,17736
112,8,u5,17748
113,9,t5,17753
114,10,u6,17859
115,11,t6,17864
116,12,u7,17876
117,13,t7,17881
118,6,u4,17924
119,7,t4,17929
120,8,u5,17941
121,9,t5,17946
122,10,u6,18052
123,11,t6,18057
124,12,u7,18069
125,13,t7,18074
126,0,u1,18076
127,1,t1,18081
128,2,u2,18093
129,3,t2,18098
130,4,u3,18110
131,5,t3,18115
132,0,u1,18117
133,1,t1,18122
134,2,u2,18134
135,3,t2,18139
136,4,u3,18151
137,5,t3,18156
138,6,u4,20907
139,7,t4,20912
140,8,u5,20924
141,9,t5,20929
142,10,u6,21035
143,11,t6,21040
144,12,u7,21052
145,13,t7,21057
146,0,u1,21059
147,1,t1,21064
148,2,u2,21076
149,3,t2,21081
150,4,u3,21093
151,5,t3,21098
152,6,u4,21100
153,7,t4,21105
154,8,u5,21117
155,9,t5,21122
156,10,u6,21228
157,11,t6,21233
158,12,u7,21245
159,13,t7,21250
160,0,u1,21252
161,1,t1,21257
162,2,u2,21269
163,3,t2,21274
164,4,u3,21286
165,5,t3,21291
166,6,u4,23890
167,7,t4,23895
168,8,u5,23907
169,9,t5,23912
170,10,u6,24018
171,11,t6,24023
172,12,u7,24035
173,13,t7,24040
174,6,u4,24083
175,7,t4,24088
176,8,u5,24100
177,9,t5,24105
178,10,u6,24211
179,11,t6,24216
180,12,u7,24228
181,13,t7,24233
