,actions,transition,time
0,0,u1,2
1,1,t1,7
2,2,u2,19
3,3,t2,24
4,4,u3,36
5,5,t3,41
6,0,u1,43
7,1,t1,48
8,2,u2,60
9,3,t2,65
10,4,u3,77
11,5,t3,82
12,0,u1,84
13,1,t1,89
14,2,u2,101
15,3,t2,106
16,4,u3,118
17,5,t3,123
18,0,u1,125
19,1,t1,130
20,2,u2,142
21,3,t2,147
22,4,u3,159
23,5,t3,164
24,6,u4,2833
25,7,t4,2838
26,8,u5,2850
27,9,t5,2855
28,10,u6,2961
29,11,t6,2966
30,12,u7,2978
31,6,u4,2980
32,7,t4,2985
33,8,u5,2997
34,9,t5,3002
35,10,u6,3108
36,11,t6,3113
37,6,u4,3115
38,7,t4,3120
39,8,u5,3132
40,9,t5,3137
41,10,u6,3243
42,11,t6,3248
43,13,t7,3250
44,12,u7,3252
45,13,t7,3257
46,12,u7,3260
47,13,t7,3265
48,0,u1,3267
49,1,t1,3272
50,2,u2,3284
51,3,t2,3289
52,4,u3,3301
53,5,t3,3306
54,0,u1,3308
55,1,t1,3313
56,2,u2,3325
57,15,t8,3330
58,14,u8,6122
59,9,t5,6127
60,10,u6,6233
61,11,t6,6238
62,12,u7,6250
63,6,u4,6252
64,7,t4,6257
65,8,u5,6269
66,9,t5,6274
67,10,u6,6380
68,11,t6,6385
69,6,u4,6387
70,7,t4,6392
71,8,u5,6404
72,9,t5,6409
73,10,u6,6515
74,11,t6,6520
75,13,t7,6522
76,12,u7,6524
77,13,t7,6529
78,0,u1,6531
79,1,t1,6536
80,2,u2,6548
81,3,t2,6553
82,12,u7,6555
83,4,u3,6565
84,5,t3,6570
85,6,u4,9362
86,7,t4,9367
87,8,u5,9379
88,9,t5,9384
89,10,u6,9490
90,11,t6,9495
91,13,t7,9497
92,12,u7,9507
93,13,t7,9512
94,0,u1,9514
95,1,t1,9519
96,2,u2,9531
97,3,t2,9536
98,0,u1,9538
99,4,u3,9548
100,5,t3,9553
101,1,t1,9555
102,2,u2,9567
103,3,t2,9572
104,4,u3,9584
105,5,t3,9589
106,0,u1,9591
107,1,t1,9596
108,2,u2,9608
109,3,t2,9613
110,4,u3,9625
111,5,t3,9630
112,0,u1,9632
113,1,t1,9637
114,2,u2,9649
115,3,t2,9654
116,4,u3,9666
117,5,t3,9671
118,6,u4,12345
119,7,t4,12350
120,8,u5,12362
121,9,t5,12367
122,10,u6,12473
123,11,t6,12478
124,12,u7,12490
125,6,u4,12492
126,7,t4,12497
127,8,u5,12509
128,6,u4,12511
129,7,t4,12516
130,9,t5,12518
131,10,u6,12624
132,11,t6,12629
133,8,u5,12631
134,9,t5,12636
135,10,u6,12742
136,11,t6,12747
137,13,t7,12749
138,12,u7,12751
139,6,u4,12753
140,7,t4,12758
141,8,u5,12770
142,9,t5,12775
143,10,u6,12881
144,11,t6,12886
145,13,t7,12888
146,12,u7,12890
147,13,t7,12895
148,12,u7,12898
149,13,t7,12903
150,0,u1,12905
151,1,t1,12910
152,2,u2,12922
153,3,t2,12927
154,4,u3,12939
155,5,t3,12944
156,0,u1,12946
157,1,t1,12951
158,2,u2,12963
159,3,t2,12968
160,4,u3,12980
161,5,t3,12985
162,6,u4,15736
163,7,t4,15741
164,8,u5,15753
165,9,t5,15758
166,10,u6,15864
167,11,t6,15869
168,12,u7,15881
169,13,t7,15886
170,6,u4,15888
171,7,t4,15893
172,8,u5,15905
173,9,t5,15910
174,10,u6,16016
175,11,t6,16021
176,12,u7,16033
177,13,t7,16038
