,actions,transition,time
0,0,u1,2
1,1,t1,7
2,2,u2,19
3,3,t2,24
4,4,u3,36
5,5,t3,41
6,0,u1,43
7,1,t1,48
8,2,u2,60
9,3,t2,65
10,4,u3,77
11,5,t3,82
12,0,u1,84
13,1,t1,89
14,2,u2,101
15,3,t2,106
16,4,u3,118
17,5,t3,123
18,0,u1,125
19,1,t1,130
20,2,u2,142
21,3,t2,147
22,4,u3,159
23,5,t3,164
24,6,u4,2833
25,7,t4,2838
26,8,u5,2850
27,9,t5,2855
28,10,u6,2961
29,11,t6,2966
30,12,u7,2978
31,13,t7,2983
32,6,u4,2985
33,7,t4,2990
34,0,u1,2992
35,8,u5,3002
36,9,t5,3007
37,10,u6,3113
38,11,t6,3118
39,1,t1,3120
40,12,u7,3130
41,2,u2,3132
42,3,t2,3137
43,4,u3,3149
44,5,t3,3154
45,13,t7,3156
46,6,u4,3158
47,7,t4,3163
48,8,u5,3175
49,9,t5,3180
50,10,u6,3286
51,11,t6,3291
52,12,u7,3303
53,13,t7,3308
54,6,u4,3310
55,7,t4,3315
56,8,u5,3327
57,9,t5,3332
58,10,u6,3438
59,11,t6,3443
60,12,u7,3455
61,13,t7,3460
62,0,u1,3462
63,1,t1,3467
64,2,u2,3479
65,3,t2,3484
66,4,u3,3496
67,5,t3,3501
68,6,u4,5946
69,7,t4,5951
70,8,u5,5963
71,9,t5,5968
72,10,u6,6074
73,11,t6,6079
74,12,u7,6091
75,13,t7,6096
76,0,u1,6098
77,1,t1,6103
78,2,u2,6115
79,3,t2,6120
80,4,u3,6132
81,5,t3,6137
82,0,u1,6139
83,1,t1,6144
84,2,u2,6156
85,3,t2,6161
86,4,u3,6173
87,5,t3,6178
88,6,u4,6293
89,0,u1,6295
90,1,t1,6300
91,2,u2,6312
92,3,t2,6317
93,7,t4,6319
94,4,u3,6329
95,5,t3,6334
96,8,u5,6336
97,9,t5,6341
98,10,u6,6447
99,11,t6,6452
100,12,u7,6464
101,13,t7,6469
102,6,u4,8929
103,7,t4,8934
104,8,u5,8946
105,9,t5,8951
106,10,u6,9057
107,11,t6,9062
108,12,u7,9074
109,13,t7,9079
110,6,u4,9081
111,0,u1,9083
112,1,t1,9088
113,2,u2,9100
114,3,t2,9105
115,7,t4,9107
116,4,u3,9117
117,8,u5,9119
118,9,t5,9124
119,10,u6,9230
120,11,t6,9235
121,12,u7,9247
122,13,t7,9252
123,0,u1,9254
124,1,t1,9259
125,2,u2,9271
126,3,t2,9276
127,5,t3,9278
128,4,u3,9288
129,5,t3,9293
130,6,u4,9295
131,7,t4,9300
132,8,u5,9312
133,9,t5,9317
134,10,u6,9423
135,11,t6,9428
136,12,u7,9440
137,13,t7,9445
138,0,u1,9447
139,1,t1,9452
140,2,u2,9464
141,3,t2,9469
142,4,u3,9481
143,5,t3,9486
144,6,u4,12070
145,7,t4,12075
146,8,u5,12087
147,9,t5,12092
148,10,u6,12198
149,11,t6,12203
150,12,u7,12215
151,13,t7,12220
152,6,u4,12222
153,7,t4,12227
154,8,u5,12239
155,9,t5,12244
156,10,u6,12350
157,11,t6,12355
158,12,u7,12367
159,13,t7,12372
160,6,u4,12374
161,7,t4,12379
162,8,u5,12391
163,9,t5,12396
164,10,u6,12502
165,11,t6,12507
166,12,u7,12519
167,13,t7,12524
168,0,u1,12526
169,1,t1,12531
170,2,u2,12543
171,3,t2,12548
172,4,u3,12560
173,5,t3,12565
174,6,u4,15357
175,7,t4,15362
176,8,u5,15374
177,9,t5,15379
178,10,u6,15485
179,11,t6,15490
180,12,u7,15502
181,13,t7,15507
