,actions,transition,time
0,0,u1,2
1,1,t1,7
2,2,u2,19
3,3,t2,24
4,4,u3,36
5,5,t3,41
6,0,u1,43
7,1,t1,48
8,2,u2,60
9,3,t2,65
10,4,u3,77
11,5,t3,82
12,0,u1,84
13,1,t1,89
14,2,u2,101
15,3,t2,106
16,4,u3,118
17,5,t3,123
18,6,u4,2833
19,7,t4,2838
20,8,u5,2850
21,9,t5,2855
22,10,u6,2961
23,11,t6,2966
24,12,u7,2978
25,13,t7,2983
26,0,u1,2985
27,1,t1,2990
28,2,u2,3002
29,3,t2,3007
30,4,u3,3019
31,5,t3,3024
32,6,u4,3026
33,7,t4,3031
34,8,u5,3043
35,9,t5,3048
36,10,u6,3154
37,11,t6,3159
38,12,u7,3171
39,13,t7,3176
40,0,u1,3178
41,1,t1,3183
42,2,u2,3195
43,3,t2,3200
44,4,u3,3212
45,5,t3,3217
46,0,u1,3219
47,1,t1,3224
48,2,u2,3236
49,3,t2,3241
50,4,u3,3253
51,5,t3,3258
52,6,u4,3260
53,7,t4,3265
54,8,u5,3277
55,9,t5,3282
56,10,u6,3388
57,11,t6,3393
58,12,u7,3405
59,13,t7,3410
60,6,u4,5816
61,7,t4,5821
62,8,u5,5833
63,9,t5,5838
64,10,u6,5944
65,11,t6,5949
66,12,u7,5961
67,13,t7,5966
68,0,u1,5968
69,1,t1,5973
70,2,u2,5985
71,3,t2,5990
72,4,u3,6002
73,5,t3,6007
74,6,u4,6009
75,7,t4,6014
76,8,u5,6026
77,9,t5,6031
78,10,u6,6137
79,11,t6,6142
80,12,u7,6154
81,13,t7,6159
82,0,u1,6161
83,1,t1,6166
84,2,u2,6178
85,3,t2,6183
86,4,u3,6195
87,5,t3,6200
88,0,u1,6202
89,1,t1,6207
90,2,u2,6219
91,3,t2,6224
92,4,u3,6236
93,5,t3,6241
94,6,u4,6243
95,7,t4,6248
96,8,u5,6260
97,9,t5,6265
98,10,u6,6371
99,11,t6,6376
100,12,u7,6388
101,13,t7,6393
102,0,u1,6395
103,1,t1,6400
104,2,u2,6412
105,3,t2,6417
106,4,u3,6429
107,5,t3,6434
108,6,u4,8799
109,7,t4,8804
110,8,u5,8816
111,9,t5,8821
112,10,u6,8927
113,11,t6,8932
114,12,u7,8944
115,13,t7,8949
116,6,u4,8992
117,7,t4,8997
118,8,u5,9009
119,9,t5,9014
120,10,u6,9120
121,11,t6,9125
122,12,u7,9137
123,13,t7,9142
124,0,u1,9144
125,1,t1,9149
126,2,u2,9161
127,3,t2,9166
128,4,u3,9178
129,5,t3,9183
130,6,u4,9185
131,7,t4,9190
132,8,u5,9202
133,9,t5,9207
134,10,u6,9313
135,11,t6,9318
136,12,u7,9330
137,13,t7,9335
138,0,u1,9337
139,1,t1,9342
140,2,u2,9354
141,3,t2,9359
142,4,u3,9371
143,5,t3,9376
144,6,u4,9378
145,7,t4,9383
146,8,u5,9395
147,9,t5,9400
148,10,u6,9506
149,11,t6,9511
150,12,u7,9523
151,13,t7,9528
152,0,u1,9530
153,1,t1,9535
154,2,u2,9547
155,3,t2,9552
156,4,u3,9564
157,5,t3,9569
158,6,u4,11975
159,7,t4,11980
160,8,u5,11992
161,9,t5,11997
162,10,u6,12103
163,11,t6,12108
164,12,u7,12120
165,13,t7,12125
166,6,u4,12168
167,7,t4,12173
168,8,u5,12185
169,9,t5,12190
170,10,u6,12296
171,11,t6,12301
172,12,u7,12313
173,13,t7,12318
174,6,u4,12361
175,7,t4,12366
176,8,u5,12378
177,9,t5,12383
178,10,u6,12489
179,11,t6,12494
180,12,u7,12506
181,13,t7,12511
