,actions,transition,time
0,0,u1,2
1,1,t1,7
2,2,u2,19
3,3,t2,24
4,4,u3,36
5,5,t3,41
6,0,u1,43
7,1,t1,48
8,2,u2,60
9,3,t2,65
10,4,u3,77
11,5,t3,82
12,0,u1,84
13,1,t1,89
14,2,u2,101
15,3,t2,106
16,4,u3,118
17,5,t3,123
18,0,u1,125
19,1,t1,130
20,2,u2,142
21,3,t2,147
22,4,u3,159
23,5,t3,164
24,6,u4,2833
25,7,t4,2838
26,8,u5,2850
27,9,t5,2855
28,10,u6,2961
29,11,t6,2966
30,12,u7,2978
31,13,t7,2983
32,0,u1,2985
33,6,u4,2987
34,7,t4,2992
35,8,u5,3004
36,9,t5,3009
37,10,u6,3115
38,11,t6,3120
39,1,t1,3122
40,2,u2,3134
41,3,t2,3139
42,4,u3,3151
43,5,t3,3156
44,12,u7,3158
45,13,t7,3163
46,6,u4,3165
47,7,t4,3170
48,8,u5,3182
49,9,t5,3187
50,10,u6,3293
51,11,t6,3298
52,12,u7,3310
53,13,t7,3315
54,0,u1,3317
55,1,t1,3322
56,2,u2,3334
57,3,t2,3339
58,4,u3,3351
59,5,t3,3356
60,6,u4,3358
61,7,t4,3363
62,8,u5,3375
63,9,t5,3380
64,10,u6,3486
65,11,t6,3491
66,12,u7,3503
67,13,t7,3508
68,0,u1,3510
69,1,t1,3515
70,2,u2,3527
71,3,t2,3532
72,4,u3,3544
73,5,t3,3549
74,6,u4,5948
75,7,t4,5953
76,8,u5,5965
77,9,t5,5970
78,10,u6,6076
79,11,t6,6081
80,12,u7,6093
81,13,t7,6098
82,0,u1,6100
83,6,u4,6148
84,7,t4,6153
85,8,u5,6165
86,1,t1,6167
87,9,t5,6170
88,2,u2,6179
89,3,t2,6184
90,10,u6,6276
91,4,u3,6278
92,5,t3,6283
93,11,t6,6285
94,12,u7,6297
95,13,t7,6302
96,6,u4,6341
97,7,t4,6346
98,8,u5,6358
99,9,t5,6363
100,10,u6,6469
101,11,t6,6474
102,12,u7,6486
103,13,t7,6491
104,0,u1,6493
105,1,t1,6498
106,2,u2,6510
107,3,t2,6515
108,4,u3,6527
109,5,t3,6532
110,0,u1,6534
111,1,t1,6539
112,2,u2,6551
113,3,t2,6556
114,4,u3,6568
115,5,t3,6573
116,6,u4,9075
117,7,t4,9080
118,8,u5,9092
119,9,t5,9097
120,10,u6,9203
121,11,t6,9208
122,12,u7,9220
123,6,u4,9324
124,7,t4,9329
125,8,u5,9341
126,9,t5,9346
127,10,u6,9452
128,11,t6,9457
129,13,t7,9459
130,12,u7,9469
131,13,t7,9474
132,0,u1,9476
133,1,t1,9481
134,2,u2,9493
135,3,t2,9498
136,4,u3,9510
137,5,t3,9515
138,0,u1,9517
139,1,t1,9522
140,2,u2,9534
141,3,t2,9539
142,6,u4,9541
143,7,t4,9546
144,8,u5,9558
145,4,u3,9560
146,5,t3,9565
147,9,t5,9567
148,10,u6,9673
149,11,t6,9678
150,12,u7,9690
151,13,t7,9695
152,0,u1,9697
153,1,t1,9702
154,2,u2,9714
155,3,t2,9719
156,4,u3,9731
157,5,t3,9736
158,6,u4,12307
159,7,t4,12312
160,8,u5,12324
161,9,t5,12329
162,10,u6,12435
163,11,t6,12440
164,12,u7,12452
165,13,t7,12457
166,6,u4,12459
167,7,t4,12464
168,8,u5,12476
169,9,t5,12481
170,10,u6,12587
171,11,t6,12592
172,12,u7,12604
173,13,t7,12609
174,6,u4,12611
175,7,t4,12616
176,8,u5,12628
177,9,t5,12633
178,10,u6,12739
179,11,t6,12744
180,12,u7,12756
181,13,t7,12761
