,actions,transition,time
0,0,u1,2
1,1,t1,7
2,2,u2,19
3,3,t2,24
4,4,u3,36
5,5,t3,41
6,0,u1,43
7,1,t1,48
8,2,u2,60
9,3,t2,65
10,4,u3,77
11,5,t3,82
12,0,u1,84
13,1,t1,89
14,2,u2,101
15,3,t2,106
16,4,u3,118
17,5,t3,123
18,6,u4,2833
19,7,t4,2838
20,8,u5,2850
21,9,t5,2855
22,10,u6,2961
23,11,t6,2966
24,12,u7,2978
25,13,t7,2983
26,6,u4,2985
27,7,t4,2990
28,8,u5,3002
29,9,t5,3007
30,10,u6,3113
31,11,t6,3118
32,12,u7,3130
33,13,t7,3135
34,0,u1,3137
35,1,t1,3142
36,2,u2,3154
37,3,t2,3159
38,4,u3,3171
39,5,t3,3176
40,0,u1,3178
41,1,t1,3183
42,2,u2,3195
43,3,t2,3200
44,4,u3,3212
45,5,t3,3217
46,6,u4,3219
47,7,t4,3224
48,8,u5,3236
49,9,t5,3241
50,10,u6,3347
51,11,t6,3352
52,12,u7,3364
53,13,t7,3369
54,6,u4,5968
55,7,t4,5973
56,8,u5,5985
57,9,t5,5990
58,10,u6,6096
59,11,t6,6101
60,12,u7,6113
61,13,t7,6118
62,0,u1,6120
63,1,t1,6125
64,2,u2,6137
65,3,t2,6142
66,4,u3,6154
67,5,t3,6159
68,0,u1,6161
69,1,t1,6166
70,2,u2,6178
71,3,t2,6183
72,4,u3,6195
73,5,t3,6200
74,6,u4,6202
75,7,t4,6207
76,8,u5,6219
77,9,t5,6224
78,10,u6,6330
79,11,t6,6335
80,12,u7,6347
81,13,t7,6352
82,0,u1,6354
83,1,t1,6359
84,2,u2,6371
85,3,t2,6376
86,4,u3,6388
87,5,t3,6393
88,0,u1,6395
89,1,t1,6400
90,2,u2,6412
91,3,t2,6417
92,4,u3,6429
93,5,t3,6434
94,6,u4,8951
95,7,t4,8956
96,8,u5,8968
97,9,t5,8973
98,10,u6,9079
99,11,t6,9084
100,12,u7,9096
101,13,t7,9101
102,6,u4,9103
103,7,t4,9108
104,8,u5,9120
105,9,t5,9125
106,10,u6,9231
107,11,t6,9236
108,12,u7,9248
109,13,t7,9253
110,0,u1,9255
111,1,t1,9260
112,2,u2,9272
113,3,t2,9277
114,4,u3,9289
115,5,t3,9294
116,6,u4,9296
117,7,t4,9301
118,8,u5,9313
119,9,t5,9318
120,10,u6,9424
121,11,t6,9429
122,12,u7,9441
123,13,t7,9446
124,0,u1,9448
125,1,t1,9453
126,2,u2,9465
127,3,t2,9470
128,4,u3,9482
129,5,t3,9487
130,6,u4,9489
131,7,t4,9494
132,8,u5,9506
133,9,t5,9511
134,10,u6,9617
135,11,t6,9622
136,12,u7,9634
137,13,t7,9639
138,0,u1,9641
139,1,t1,9646
140,2,u2,9658
141,3,t2,9663
142,4,u3,9675
143,5,t3,9680
144,6,u4,12086
145,7,t4,12091
146,8,u5,12103
147,9,t5,12108
148,10,u6,12214
149,11,t6,12219
150,12,u7,12231
151,13,t7,12236
152,6,u4,12279
153,7,t4,12284
154,8,u5,12296
155,9,t5,12301
156,10,u6,12407
157,11,t6,12412
158,12,u7,12424
159,13,t7,12429
160,0,u1,12431
161,1,t1,12436
162,2,u2,12448
163,3,t2,12453
164,4,u3,12465
165,5,t3,12470
166,6,u4,12472
167,7,t4,12477
168,8,u5,12489
169,9,t5,12494
170,10,u6,12600
171,11,t6,12605
172,12,u7,12617
173,13,t7,12622
174,6,u4,15262
175,7,t4,15267
176,8,u5,15279
177,9,t5,15284
178,10,u6,15390
179,11,t6,15395
180,12,u7,15407
181,13,t7,15412
