,actions,transition,time
0,0,u1,2
1,1,t1,7
2,2,u2,19
3,3,t2,24
4,4,u3,36
5,5,t3,41
6,0,u1,43
7,1,t1,48
8,2,u2,60
9,3,t2,65
10,4,u3,77
11,5,t3,82
12,6,u4,2833
13,7,t4,2838
14,8,u5,2850
15,9,t5,2855
16,10,u6,2961
17,11,t6,2966
18,12,u7,2978
19,13,t7,2983
20,0,u1,2985
21,1,t1,2990
22,2,u2,3002
23,3,t2,3007
24,4,u3,3019
25,5,t3,3024
26,0,u1,3026
27,1,t1,3031
28,2,u2,3043
29,3,t2,3048
30,4,u3,3060
31,5,t3,3065
32,6,u4,3067
33,7,t4,3072
34,8,u5,3084
35,9,t5,3089
36,10,u6,3195
37,11,t6,3200
38,12,u7,3212
39,13,t7,3217
40,0,u1,3219
41,1,t1,3224
42,2,u2,3236
43,3,t2,3241
44,4,u3,3253
45,0,u1,3255
46,1,t1,3260
47,2,u2,3272
48,3,t2,3277
49,5,t3,3279
50,4,u3,3289
51,5,t3,3294
52,6,u4,5816
53,7,t4,5821
54,8,u5,5833
55,9,t5,5838
56,10,u6,5944
57,11,t6,5949
58,12,u7,5961
59,13,t7,5966
60,6,u4,5968
61,7,t4,5973
62,8,u5,5985
63,9,t5,5990
64,10,u6,6096
65,11,t6,6101
66,12,u7,6113
67,13,t7,6118
68,6,u4,6120
69,7,t4,6125
70,8,u5,6137
71,9,t5,6142
72,10,u6,6248
73,11,t6,6253
74,12,u7,6265
75,13,t7,6270
76,0,u1,6272
77,1,t1,6277
78,2,u2,6289
79,3,t2,6294
80,4,u3,6306
81,5,t3,6311
82,0,u1,6313
83,6,u4,6315
84,1,t1,6318
85,2,u2,6330
86,3,t2,6335
87,7,t4,6337
88,4,u3,6347
89,8,u5,6349
90,5,t3,6352
91,9,t5,6354
92,10,u6,6460
93,11,t6,6465
94,12,u7,6477
95,6,u4,9103
96,7,t4,9108
97,13,t7,9110
98,8,u5,9120
99,0,u1,9122
100,1,t1,9127
101,9,t5,9129
102,10,u6,9235
103,11,t6,9240
104,2,u2,9242
105,3,t2,9247
106,4,u3,9259
107,12,u7,9261
108,13,t7,9266
109,5,t3,9268
110,6,u4,9270
111,7,t4,9275
112,8,u5,9287
113,9,t5,9292
114,10,u6,9398
115,11,t6,9403
116,12,u7,9415
117,13,t7,9420
118,0,u1,9422
119,1,t1,9427
120,2,u2,9439
121,3,t2,9444
122,4,u3,9456
123,5,t3,9461
124,6,u4,12060
125,7,t4,12065
126,8,u5,12077
127,9,t5,12082
128,10,u6,12188
129,11,t6,12193
130,12,u7,12205
131,13,t7,12210
132,0,u1,12212
133,1,t1,12217
134,2,u2,12229
135,3,t2,12234
136,4,u3,12246
137,0,u1,12248
138,1,t1,12253
139,2,u2,12265
140,3,t2,12270
141,5,t3,12272
142,4,u3,12282
143,5,t3,12287
144,0,u1,12289
145,1,t1,12294
146,2,u2,12306
147,3,t2,12311
148,4,u3,12323
149,5,t3,12328
150,6,u4,12330
151,7,t4,12335
152,8,u5,12347
153,9,t5,12352
154,10,u6,12458
155,11,t6,12463
156,12,u7,12475
157,13,t7,12480
158,6,u4,15064
159,7,t4,15069
160,8,u5,15081
161,9,t5,15086
162,10,u6,15192
163,11,t6,15197
164,12,u7,15209
165,13,t7,15214
166,6,u4,15216
167,7,t4,15221
168,8,u5,15233
169,9,t5,15238
170,10,u6,15344
171,11,t6,15349
172,12,u7,15361
173,13,t7,15366
174,6,u4,15368
175,7,t4,15373
176,8,u5,15385
177,9,t5,15390
178,10,u6,15496
179,11,t6,15501
180,12,u7,15513
181,13,t7,15518
