,actions,transition,time
0,0,u1,2
1,1,t1,7
2,2,u2,19
3,3,t2,24
4,4,u3,36
5,5,t3,41
6,6,u4,2833
7,7,t4,2838
8,8,u5,2850
9,9,t5,2855
10,10,u6,2961
11,11,t6,2966
12,12,u7,2978
13,13,t7,2983
14,0,u1,2985
15,1,t1,2990
16,2,u2,3002
17,3,t2,3007
18,4,u3,3019
19,5,t3,3024
20,0,u1,3026
21,1,t1,3031
22,2,u2,3043
23,3,t2,3048
24,4,u3,3060
25,5,t3,3065
26,6,u4,5816
27,7,t4,5821
28,8,u5,5833
29,9,t5,5838
30,10,u6,5944
31,11,t6,5949
32,12,u7,5961
33,13,t7,5966
34,0,u1,5968
35,1,t1,5973
36,2,u2,5985
37,3,t2,5990
38,4,u3,6002
39,5,t3,6007
40,6,u4,6009
41,7,t4,6014
42,8,u5,6026
43,9,t5,6031
44,10,u6,6137
45,11,t6,6142
46,12,u7,6154
47,13,t7,6159
48,0,u1,6161
49,1,t1,6166
50,2,u2,6178
51,3,t2,6183
52,4,u3,6195
53,5,t3,6200
54,0,u1,6202
55,1,t1,6207
56,2,u2,6219
57,3,t2,6224
58,4,u3,6236
59,5,t3,6241
60,0,u1,6243
61,1,t1,6248
62,2,u2,6260
63,3,t2,6265
64,4,u3,6277
65,5,t3,6282
66,6,u4,8799
67,7,t4,8804
68,8,u5,8816
69,9,t5,8821
70,10,u6,8927
71,11,t6,8932
72,12,u7,8944
73,13,t7,8949
74,6,u4,8992
75,7,t4,8997
76,8,u5,9009
77,9,t5,9014
78,10,u6,9120
79,11,t6,9125
80,12,u7,9137
81,13,t7,9142
82,6,u4,9144
83,7,t4,9149
84,8,u5,9161
85,9,t5,9166
86,10,u6,9272
87,11,t6,9277
88,12,u7,9289
89,13,t7,9294
90,0,u1,9296
91,1,t1,9301
92,2,u2,9313
93,3,t2,9318
94,4,u3,9330
95,5,t3,9335
96,0,u1,9337
97,1,t1,9342
98,2,u2,9354
99,3,t2,9359
100,4,u3,9371
101,5,t3,9376
102,6,u4,9378
103,7,t4,9383
104,8,u5,9395
105,9,t5,9400
106,10,u6,9506
107,11,t6,9511
108,12,u7,9523
109,13,t7,9528
110,6,u4,12127
111,7,t4,12132
112,8,u5,12144
113,9,t5,12149
114,10,u6,12255
115,11,t6,12260
116,12,u7,12272
117,13,t7,12277
118,6,u4,12279
119,7,t4,12284
120,8,u5,12296
121,9,t5,12301
122,10,u6,12407
123,11,t6,12412
124,12,u7,12424
125,13,t7,12429
126,0,u1,12431
127,1,t1,12436
128,2,u2,12448
129,3,t2,12453
130,4,u3,12465
131,5,t3,12470
132,0,u1,12472
133,1,t1,12477
134,2,u2,12489
135,3,t2,12494
136,4,u3,12506
137,5,t3,12511
138,6,u4,15262
139,7,t4,15267
140,8,u5,15279
141,9,t5,15284
142,10,u6,15390
143,11,t6,15395
144,12,u7,15407
145,13,t7,15412
146,6,u4,15414
147,7,t4,15419
148,8,u5,15431
149,9,t5,15436
150,10,u6,15542
151,11,t6,15547
152,12,u7,15559
153,13,t7,15564
154,0,u1,15566
155,1,t1,15571
156,2,u2,15583
157,3,t2,15588
158,4,u3,15600
159,5,t3,15605
160,0,u1,15607
161,1,t1,15612
162,2,u2,15624
163,3,t2,15629
164,4,u3,15641
165,5,t3,15646
166,6,u4,18397
167,7,t4,18402
168,8,u5,18414
169,9,t5,18419
170,10,u6,18525
171,11,t6,18530
172,12,u7,18542
173,13,t7,18547
174,6,u4,18549
175,7,t4,18554
176,8,u5,18566
177,9,t5,18571
178,10,u6,18677
179,11,t6,18682
180,12,u7,18694
181,13,t7,18699
