,actions,transition,time
0,0,u1,2
1,1,t1,7
2,2,u2,19
3,3,t2,24
4,4,u3,36
5,5,t3,41
6,0,u1,43
7,1,t1,48
8,2,u2,60
9,3,t2,65
10,4,u3,77
11,5,t3,82
12,0,u1,84
13,1,t1,89
14,2,u2,101
15,3,t2,106
16,4,u3,118
17,5,t3,123
18,6,u4,2833
19,7,t4,2838
20,8,u5,2850
21,9,t5,2855
22,10,u6,2961
23,11,t6,2966
24,12,u7,2978
25,6,u4,2980
26,7,t4,2985
27,8,u5,2997
28,9,t5,3002
29,10,u6,3108
30,11,t6,3113
31,13,t7,3115
32,12,u7,3125
33,6,u4,3127
34,7,t4,3132
35,8,u5,3144
36,9,t5,3149
37,10,u6,3255
38,11,t6,3260
39,13,t7,3262
40,12,u7,3272
41,13,t7,3277
42,0,u1,3279
43,1,t1,3284
44,2,u2,3296
45,3,t2,3301
46,4,u3,3313
47,5,t3,3318
48,0,u1,3320
49,1,t1,3325
50,2,u2,3337
51,3,t2,3342
52,4,u3,3354
53,5,t3,3359
54,0,u1,3361
55,1,t1,3366
56,2,u2,3378
57,3,t2,3383
58,4,u3,3395
59,5,t3,3400
60,6,u4,6110
61,7,t4,6115
62,8,u5,6127
63,9,t5,6132
64,10,u6,6238
65,11,t6,6243
66,12,u7,6255
67,6,u4,6257
68,7,t4,6262
69,8,u5,6274
70,9,t5,6279
71,10,u6,6385
72,11,t6,6390
73,6,u4,6392
74,7,t4,6397
75,8,u5,6409
76,9,t5,6414
77,10,u6,6520
78,11,t6,6525
79,13,t7,6527
80,12,u7,6529
81,13,t7,6534
82,12,u7,6537
83,13,t7,6542
84,0,u1,6544
85,1,t1,6549
86,2,u2,6561
87,3,t2,6566
88,4,u3,6578
89,5,t3,6583
90,0,u1,6585
91,1,t1,6590
92,2,u2,6602
93,3,t2,6607
94,4,u3,6619
95,5,t3,6624
96,0,u1,6626
97,1,t1,6631
98,2,u2,6643
99,3,t2,6648
100,4,u3,6660
101,5,t3,6665
102,0,u1,6667
103,1,t1,6672
104,2,u2,6684
105,3,t2,6689
106,4,u3,6701
107,5,t3,6706
108,0,u1,6708
109,6,u4,9375
110,1,t1,9377
111,2,u2,9389
112,3,t2,9394
113,7,t4,9396
114,4,u3,9406
115,5,t3,9411
116,8,u5,9413
117,9,t5,9418
118,10,u6,9524
119,11,t6,9529
120,12,u7,9541
121,6,u4,9543
122,7,t4,9548
123,8,u5,9560
124,9,t5,9565
125,10,u6,9671
126,11,t6,9676
127,13,t7,9678
128,12,u7,9688
129,6,u4,9690
130,7,t4,9695
131,8,u5,9707
132,9,t5,9712
133,10,u6,9818
134,11,t6,9823
135,6,u4,9825
136,7,t4,9830
137,8,u5,9842
138,9,t5,9847
139,10,u6,9953
140,11,t6,9958
141,6,u4,12203
142,7,t4,12208
143,8,u5,12220
144,9,t5,12225
145,10,u6,12331
146,13,t7,12333
147,12,u7,12335
148,11,t6,12337
149,13,t7,12340
150,12,u7,12342
151,13,t7,12347
152,12,u7,12349
153,13,t7,12354
154,0,u1,12356
155,1,t1,12361
156,2,u2,12373
157,3,t2,12378
158,4,u3,12390
159,5,t3,12395
160,0,u1,12397
161,1,t1,12402
162,2,u2,12414
163,3,t2,12419
164,4,u3,12431
165,5,t3,12436
166,6,u4,15187
167,7,t4,15192
168,8,u5,15204
169,9,t5,15209
170,10,u6,15315
171,11,t6,15320
172,12,u7,15332
173,6,u4,15334
174,7,t4,15339
175,8,u5,15351
176,9,t5,15356
177,10,u6,15462
178,11,t6,15467
179,13,t7,15469
180,12,u7,15479
181,13,t7,15484
