,actions,transition,time
0,0,u1,2
1,1,t1,7
2,2,u2,19
3,3,t2,24
4,4,u3,36
5,5,t3,41
6,0,u1,43
7,1,t1,48
8,2,u2,60
9,3,t2,65
10,4,u3,77
11,5,t3,82
12,6,u4,2833
13,7,t4,2838
14,8,u5,2850
15,9,t5,2855
16,10,u6,2961
17,11,t6,2966
18,12,u7,2978
19,6,u4,2980
20,7,t4,2985
21,8,u5,2997
22,9,t5,3002
23,10,u6,3108
24,11,t6,3113
25,13,t7,3115
26,12,u7,3125
27,13,t7,3130
28,0,u1,3132
29,1,t1,3137
30,2,u2,3149
31,3,t2,3154
32,4,u3,3166
33,5,t3,3171
34,0,u1,3173
35,1,t1,3178
36,2,u2,3190
37,3,t2,3195
38,4,u3,3207
39,5,t3,3212
40,6,u4,5963
41,7,t4,5968
42,6,u4,6004
43,8,u5,6006
44,9,t5,6011
45,10,u6,6117
46,7,t4,6119
47,11,t6,6122
48,12,u7,6134
49,8,u5,6136
50,9,t5,6141
51,10,u6,6247
52,11,t6,6252
53,13,t7,6254
54,12,u7,6264
55,13,t7,6269
56,0,u1,6271
57,1,t1,6276
58,2,u2,6288
59,3,t2,6293
60,4,u3,6305
61,5,t3,6310
62,0,u1,6312
63,1,t1,6317
64,2,u2,6329
65,3,t2,6334
66,4,u3,6346
67,5,t3,6351
68,0,u1,6353
69,1,t1,6358
70,2,u2,6370
71,3,t2,6375
72,4,u3,6387
73,5,t3,6392
74,6,u4,9102
75,7,t4,9107
76,6,u4,9143
77,8,u5,9145
78,9,t5,9150
79,10,u6,9256
80,11,t6,9261
81,12,u7,9273
82,7,t4,9275
83,6,u4,9277
84,8,u5,9287
85,9,t5,9292
86,10,u6,9398
87,11,t6,9403
88,7,t4,9405
89,8,u5,9417
90,9,t5,9422
91,10,u6,9528
92,11,t6,9533
93,13,t7,9535
94,12,u7,9537
95,13,t7,9542
96,12,u7,9545
97,13,t7,9550
98,0,u1,9552
99,1,t1,9557
100,2,u2,9569
101,3,t2,9574
102,4,u3,9586
103,5,t3,9591
104,0,u1,9593
105,1,t1,9598
106,2,u2,9610
107,3,t2,9615
108,4,u3,9627
109,5,t3,9632
110,0,u1,9634
111,1,t1,9639
112,2,u2,9651
113,3,t2,9656
114,4,u3,9668
115,5,t3,9673
116,6,u4,12383
117,7,t4,12388
118,8,u5,12400
119,9,t5,12405
120,10,u6,12511
121,11,t6,12516
122,12,u7,12528
123,6,u4,12530
124,7,t4,12535
125,6,u4,12537
126,7,t4,12542
127,8,u5,12547
128,9,t5,12552
129,10,u6,12658
130,11,t6,12663
131,8,u5,12665
132,9,t5,12670
133,10,u6,12776
134,11,t6,12781
135,13,t7,12783
136,12,u7,12785
137,13,t7,12790
138,12,u7,12793
139,13,t7,12798
140,0,u1,12800
141,1,t1,12805
142,2,u2,12817
143,3,t2,12822
144,4,u3,12834
145,5,t3,12839
146,0,u1,12841
147,1,t1,12846
148,2,u2,12858
149,3,t2,12863
150,4,u3,12875
151,5,t3,12880
152,0,u1,12882
153,1,t1,12887
154,2,u2,12899
155,3,t2,12904
156,4,u3,12916
157,5,t3,12921
158,6,u4,15631
159,7,t4,15636
160,8,u5,15648
161,9,t5,15653
162,10,u6,15759
163,11,t6,15764
164,12,u7,15776
165,6,u4,15778
166,7,t4,15783
167,6,u4,15785
168,7,t4,15790
169,8,u5,15795
170,9,t5,15800
171,10,u6,15906
172,11,t6,15911
173,8,u5,15913
174,9,t5,15918
175,10,u6,16024
176,11,t6,16029
177,13,t7,16031
178,12,u7,16033
179,13,t7,16038
180,12,u7,16041
181,13,t7,16046
