,actions,transition,time
0,0,u1,2
1,1,t1,7
2,2,u2,19
3,3,t2,24
4,4,u3,36
5,0,u1,38
6,1,t1,43
7,2,u2,55
8,3,t2,60
9,5,t3,62
10,4,u3,72
11,5,t3,77
12,0,u1,79
13,1,t1,84
14,2,u2,96
15,3,t2,101
16,4,u3,113
17,5,t3,118
18,0,u1,120
19,1,t1,125
20,2,u2,137
21,3,t2,142
22,4,u3,154
23,5,t3,159
24,6,u4,2854
25,7,t4,2859
26,8,u5,2871
27,9,t5,2876
28,10,u6,2982
29,11,t6,2987
30,12,u7,2999
31,13,t7,3004
32,6,u4,3006
33,7,t4,3011
34,8,u5,3023
35,9,t5,3028
36,10,u6,3134
37,11,t6,3139
38,12,u7,3151
39,13,t7,3156
40,0,u1,3158
41,1,t1,3163
42,2,u2,3175
43,3,t2,3180
44,4,u3,3192
45,5,t3,3197
46,6,u4,3199
47,7,t4,3204
48,8,u5,3216
49,9,t5,3221
50,10,u6,3327
51,11,t6,3332
52,12,u7,3344
53,13,t7,3349
54,0,u1,3351
55,1,t1,3356
56,2,u2,3368
57,3,t2,3373
58,4,u3,3385
59,5,t3,3390
60,6,u4,3392
61,7,t4,3397
62,8,u5,3409
63,9,t5,3414
64,10,u6,3520
65,11,t6,3525
66,12,u7,3537
67,13,t7,3542
68,6,u4,5989
69,7,t4,5994
70,8,u5,6006
71,9,t5,6011
72,10,u6,6117
73,11,t6,6122
74,12,u7,6134
75,13,t7,6139
76,0,u1,6141
77,1,t1,6146
78,2,u2,6158
79,3,t2,6163
80,4,u3,6175
81,5,t3,6180
82,0,u1,6182
83,1,t1,6187
84,2,u2,6199
85,3,t2,6204
86,4,u3,6216
87,5,t3,6221
88,6,u4,6223
89,7,t4,6228
90,8,u5,6240
91,9,t5,6245
92,10,u6,6351
93,11,t6,6356
94,12,u7,6368
95,6,u4,8972
96,13,t7,8974
97,7,t4,8977
98,8,u5,8989
99,9,t5,8994
100,10,u6,9100
101,11,t6,9105
102,12,u7,9117
103,13,t7,9122
104,6,u4,9124
105,0,u1,9126
106,7,t4,9129
107,1,t1,9131
108,2,u2,9143
109,3,t2,9148
110,4,u3,9160
111,8,u5,9162
112,5,t3,9165
113,9,t5,9167
114,10,u6,9273
115,11,t6,9278
116,12,u7,9290
117,13,t7,9295
118,0,u1,9297
119,1,t1,9302
120,2,u2,9314
121,3,t2,9319
122,4,u3,9331
123,5,t3,9336
124,0,u1,9338
125,1,t1,9343
126,2,u2,9355
127,3,t2,9360
128,4,u3,9372
129,5,t3,9377
130,6,u4,11957
131,7,t4,11962
132,8,u5,11974
133,9,t5,11979
134,10,u6,12085
135,11,t6,12090
136,12,u7,12102
137,13,t7,12107
138,6,u4,12128
139,7,t4,12133
140,8,u5,12145
141,9,t5,12150
142,10,u6,12256
143,11,t6,12261
144,12,u7,12273
145,13,t7,12278
146,0,u1,12280
147,1,t1,12285
148,2,u2,12297
149,3,t2,12302
150,4,u3,12314
151,5,t3,12319
152,0,u1,12321
153,1,t1,12326
154,2,u2,12338
155,3,t2,12343
156,4,u3,12355
157,5,t3,12360
158,6,u4,12362
159,7,t4,12367
160,8,u5,12379
161,9,t5,12384
162,10,u6,12490
163,11,t6,12495
164,12,u7,12507
165,13,t7,12512
166,6,u4,15111
167,7,t4,15116
168,8,u5,15128
169,9,t5,15133
170,10,u6,15239
171,11,t6,15244
172,12,u7,15256
173,13,t7,15261
174,6,u4,15263
175,7,t4,15268
176,8,u5,15280
177,9,t5,15285
178,10,u6,15391
179,11,t6,15396
180,12,u7,15408
181,13,t7,15413
