,actions,transition,time
0,0,u1,2
1,1,t1,7
2,2,u2,19
3,3,t2,24
4,4,u3,36
5,5,t3,41
6,0,u1,43
7,1,t1,48
8,2,u2,60
9,3,t2,65
10,4,u3,77
11,5,t3,82
12,0,u1,84
13,1,t1,89
14,2,u2,101
15,3,t2,106
16,4,u3,118
17,5,t3,123
18,6,u4,2833
19,7,t4,2838
20,8,u5,2850
21,9,t5,2855
22,10,u6,2961
23,11,t6,2966
24,12,u7,2978
25,13,t7,2983
26,0,u1,2985
27,1,t1,2990
28,2,u2,3002
29,3,t2,3007
30,4,u3,3019
31,5,t3,3024
32,0,u1,3026
33,1,t1,3031
34,2,u2,3043
35,3,t2,3048
36,4,u3,3060
37,5,t3,3065
38,6,u4,3067
39,7,t4,3072
40,8,u5,3084
41,9,t5,3089
42,10,u6,3195
43,11,t6,3200
44,12,u7,3212
45,13,t7,3217
46,6,u4,3219
47,7,t4,3224
48,8,u5,3236
49,9,t5,3241
50,10,u6,3347
51,11,t6,3352
52,12,u7,3364
53,6,u4,5816
54,13,t7,5818
55,7,t4,5821
56,8,u5,5833
57,9,t5,5838
58,10,u6,5944
59,11,t6,5949
60,12,u7,5961
61,13,t7,5966
62,0,u1,5968
63,1,t1,5973
64,2,u2,5985
65,3,t2,5990
66,4,u3,6002
67,5,t3,6007
68,6,u4,6009
69,7,t4,6014
70,8,u5,6026
71,9,t5,6031
72,10,u6,6137
73,11,t6,6142
74,12,u7,6154
75,13,t7,6159
76,0,u1,6161
77,1,t1,6166
78,0,u1,6168
79,2,u2,6178
80,3,t2,6183
81,4,u3,6195
82,5,t3,6200
83,1,t1,6202
84,2,u2,6214
85,3,t2,6219
86,4,u3,6231
87,5,t3,6236
88,6,u4,8799
89,7,t4,8804
90,8,u5,8816
91,9,t5,8821
92,10,u6,8927
93,11,t6,8932
94,12,u7,8944
95,13,t7,8949
96,6,u4,8992
97,7,t4,8997
98,8,u5,9009
99,9,t5,9014
100,10,u6,9120
101,11,t6,9125
102,12,u7,9137
103,13,t7,9142
104,0,u1,9144
105,1,t1,9149
106,2,u2,9161
107,3,t2,9166
108,4,u3,9178
109,5,t3,9183
110,6,u4,9185
111,7,t4,9190
112,0,u1,9192
113,8,u5,9202
114,9,t5,9207
115,10,u6,9313
116,11,t6,9318
117,1,t1,9320
118,2,u2,9332
119,3,t2,9337
120,4,u3,9349
121,5,t3,9354
122,12,u7,9356
123,13,t7,9361
124,0,u1,9363
125,1,t1,9368
126,2,u2,9380
127,3,t2,9385
128,4,u3,9397
129,5,t3,9402
130,6,u4,11975
131,7,t4,11980
132,8,u5,11992
133,9,t5,11997
134,10,u6,12103
135,11,t6,12108
136,0,u1,12110
137,1,t1,12115
138,2,u2,12127
139,3,t2,12132
140,4,u3,12144
141,5,t3,12149
142,12,u7,12151
143,13,t7,12156
144,6,u4,12158
145,0,u1,12160
146,1,t1,12165
147,2,u2,12177
148,3,t2,12182
149,7,t4,12184
150,4,u3,12194
151,5,t3,12199
152,8,u5,12201
153,9,t5,12206
154,10,u6,12312
155,11,t6,12317
156,12,u7,12329
157,13,t7,12334
158,6,u4,12336
159,7,t4,12341
160,8,u5,12353
161,9,t5,12358
162,10,u6,12464
163,11,t6,12469
164,12,u7,12481
165,13,t7,12486
166,6,u4,14941
167,7,t4,14946
168,8,u5,14958
169,9,t5,14963
170,10,u6,15069
171,11,t6,15074
172,12,u7,15086
173,13,t7,15091
174,6,u4,15093
175,7,t4,15098
176,8,u5,15110
177,9,t5,15115
178,10,u6,15221
179,11,t6,15226
180,12,u7,15238
181,13,t7,15243
