,actions,transition,time
0,0,u1,2
1,1,t1,7
2,2,u2,19
3,3,t2,24
4,4,u3,36
5,5,t3,41
6,0,u1,43
7,1,t1,48
8,2,u2,60
9,3,t2,65
10,4,u3,77
11,5,t3,82
12,0,u1,84
13,1,t1,89
14,2,u2,101
15,3,t2,106
16,4,u3,118
17,5,t3,123
18,6,u4,2833
19,7,t4,2838
20,8,u5,2850
21,9,t5,2855
22,10,u6,2961
23,11,t6,2966
24,12,u7,2978
25,13,t7,2983
26,0,u1,2985
27,1,t1,2990
28,2,u2,3002
29,3,t2,3007
30,4,u3,3019
31,5,t3,3024
32,6,u4,3026
33,7,t4,3031
34,8,u5,3043
35,9,t5,3048
36,10,u6,3154
37,11,t6,3159
38,12,u7,3171
39,13,t7,3176
40,0,u1,3178
41,1,t1,3183
42,2,u2,3195
43,3,t2,3200
44,4,u3,3212
45,5,t3,3217
46,6,u4,3219
47,7,t4,3224
48,8,u5,3236
49,9,t5,3241
50,10,u6,3347
51,11,t6,3352
52,12,u7,3364
53,13,t7,3369
54,6,u4,5816
55,7,t4,5821
56,8,u5,5833
57,9,t5,5838
58,10,u6,5944
59,11,t6,5949
60,12,u7,5961
61,13,t7,5966
62,0,u1,5968
63,1,t1,5973
64,2,u2,5985
65,3,t2,5990
66,4,u3,6002
67,5,t3,6007
68,0,u1,6009
69,1,t1,6014
70,2,u2,6026
71,3,t2,6031
72,4,u3,6043
73,5,t3,6048
74,0,u1,6050
75,1,t1,6055
76,2,u2,6067
77,3,t2,6072
78,4,u3,6084
79,5,t3,6089
80,6,u4,6091
81,7,t4,6096
82,8,u5,6108
83,9,t5,6113
84,10,u6,6219
85,11,t6,6224
86,12,u7,6236
87,13,t7,6241
88,6,u4,8799
89,7,t4,8804
90,8,u5,8816
91,9,t5,8821
92,10,u6,8927
93,11,t6,8932
94,12,u7,8944
95,13,t7,8949
96,0,u1,8951
97,1,t1,8956
98,2,u2,8968
99,3,t2,8973
100,4,u3,8985
101,5,t3,8990
102,0,u1,8992
103,1,t1,8997
104,2,u2,9009
105,3,t2,9014
106,4,u3,9026
107,5,t3,9031
108,6,u4,9033
109,7,t4,9038
110,8,u5,9050
111,9,t5,9055
112,10,u6,9161
113,11,t6,9166
114,12,u7,9178
115,13,t7,9183
116,6,u4,9185
117,7,t4,9190
118,8,u5,9202
119,9,t5,9207
120,10,u6,9313
121,11,t6,9318
122,12,u7,9330
123,13,t7,9335
124,0,u1,9337
125,1,t1,9342
126,2,u2,9354
127,3,t2,9359
128,4,u3,9371
129,5,t3,9376
130,0,u1,9378
131,1,t1,9383
132,2,u2,9395
133,3,t2,9400
134,4,u3,9412
135,5,t3,9417
136,6,u4,11782
137,7,t4,11787
138,8,u5,11799
139,9,t5,11804
140,10,u6,11910
141,11,t6,11915
142,12,u7,11927
143,13,t7,11932
144,6,u4,11934
145,7,t4,11939
146,8,u5,11951
147,9,t5,11956
148,10,u6,12062
149,11,t6,12067
150,12,u7,12079
151,13,t7,12084
152,0,u1,12086
153,1,t1,12091
154,2,u2,12103
155,3,t2,12108
156,4,u3,12120
157,5,t3,12125
158,6,u4,12168
159,7,t4,12173
160,8,u5,12185
161,9,t5,12190
162,10,u6,12296
163,11,t6,12301
164,12,u7,12313
165,13,t7,12318
166,6,u4,12320
167,7,t4,12325
168,8,u5,12337
169,9,t5,12342
170,10,u6,12448
171,11,t6,12453
172,12,u7,12465
173,13,t7,12470
174,6,u4,14917
175,7,t4,14922
176,8,u5,14934
177,9,t5,14939
178,10,u6,15045
179,11,t6,15050
180,12,u7,15062
181,13,t7,15067
