,actions,transition,time
0,0,u1,2
1,1,t1,7
2,2,u2,19
3,3,t2,24
4,4,u3,36
5,5,t3,41
6,0,u1,43
7,1,t1,48
8,2,u2,60
9,3,t2,65
10,4,u3,77
11,5,t3,82
12,0,u1,84
13,1,t1,89
14,2,u2,101
15,3,t2,106
16,4,u3,118
17,5,t3,123
18,0,u1,125
19,1,t1,130
20,2,u2,142
21,3,t2,147
22,4,u3,159
23,5,t3,164
24,6,u4,2833
25,7,t4,2838
26,8,u5,2850
27,9,t5,2855
28,10,u6,2961
29,11,t6,2966
30,12,u7,2978
31,6,u4,2980
32,7,t4,2985
33,8,u5,2997
34,9,t5,3002
35,10,u6,3108
36,11,t6,3113
37,6,u4,3115
38,7,t4,3120
39,8,u5,3132
40,9,t5,3137
41,10,u6,3243
42,11,t6,3248
43,13,t7,3250
44,12,u7,3252
45,6,u4,3254
46,7,t4,3259
47,8,u5,3271
48,9,t5,3276
49,10,u6,3382
50,11,t6,3387
51,13,t7,3389
52,12,u7,3391
53,13,t7,3396
54,12,u7,3399
55,13,t7,3404
56,0,u1,3406
57,1,t1,3411
58,2,u2,3423
59,3,t2,3428
60,4,u3,3440
61,5,t3,3445
62,0,u1,3447
63,1,t1,3452
64,2,u2,3464
65,3,t2,3469
66,4,u3,3481
67,5,t3,3486
68,0,u1,3488
69,1,t1,3493
70,2,u2,3505
71,3,t2,3510
72,4,u3,3522
73,5,t3,3527
74,0,u1,3529
75,1,t1,3534
76,2,u2,3546
77,3,t2,3551
78,4,u3,3563
79,5,t3,3568
80,6,u4,6237
81,7,t4,6242
82,8,u5,6254
83,9,t5,6259
84,10,u6,6365
85,11,t6,6370
86,12,u7,6382
87,6,u4,6384
88,7,t4,6389
89,8,u5,6401
90,9,t5,6406
91,10,u6,6512
92,11,t6,6517
93,6,u4,6519
94,7,t4,6524
95,8,u5,6536
96,9,t5,6541
97,10,u6,6647
98,11,t6,6652
99,6,u4,6654
100,7,t4,6659
101,8,u5,6671
102,9,t5,6676
103,10,u6,6782
104,13,t7,6784
105,12,u7,6786
106,11,t6,6788
107,13,t7,6791
108,12,u7,6793
109,13,t7,6798
110,12,u7,6800
111,13,t7,6805
112,0,u1,6807
113,1,t1,6812
114,2,u2,6824
115,3,t2,6829
116,4,u3,6841
117,5,t3,6846
118,0,u1,6848
119,1,t1,6853
120,2,u2,6865
121,3,t2,6870
122,4,u3,6882
123,5,t3,6887
124,0,u1,6889
125,1,t1,6894
126,2,u2,6906
127,3,t2,6911
128,4,u3,6923
129,5,t3,6928
130,6,u4,9638
131,7,t4,9643
132,8,u5,9655
133,9,t5,9660
134,10,u6,9766
135,11,t6,9771
136,12,u7,9783
137,6,u4,9785
138,7,t4,9790
139,8,u5,9802
140,9,t5,9807
141,10,u6,9913
142,11,t6,9918
143,13,t7,9920
144,12,u7,9930
145,13,t7,9935
146,0,u1,9937
147,1,t1,9942
148,2,u2,9954
149,3,t2,9959
150,4,u3,9971
151,5,t3,9976
152,0,u1,9978
153,1,t1,9983
154,2,u2,9995
155,3,t2,10000
156,4,u3,10012
157,5,t3,10017
158,6,u4,10019
159,7,t4,10024
160,8,u5,10036
161,9,t5,10041
162,10,u6,10147
163,11,t6,10152
164,12,u7,10164
165,6,u4,12768
166,7,t4,12773
167,8,u5,12785
168,9,t5,12790
169,10,u6,12896
170,11,t6,12901
171,13,t7,12903
172,12,u7,12913
173,13,t7,12918
174,6,u4,12920
175,7,t4,12925
176,8,u5,12937
177,9,t5,12942
178,10,u6,13048
179,11,t6,13053
180,12,u7,13065
181,13,t7,13070
