,actions,transition,time
0,0,u1,2
1,1,t1,7
2,0,u1,9
3,2,u2,19
4,3,t2,24
5,4,u3,36
6,1,t1,38
7,2,u2,50
8,3,t2,55
9,5,t3,57
10,4,u3,67
11,5,t3,72
12,0,u1,74
13,1,t1,79
14,2,u2,91
15,3,t2,96
16,4,u3,108
17,5,t3,113
18,6,u4,2849
19,7,t4,2854
20,8,u5,2866
21,9,t5,2871
22,10,u6,2977
23,11,t6,2982
24,12,u7,2994
25,13,t7,2999
26,0,u1,3001
27,1,t1,3006
28,2,u2,3018
29,3,t2,3023
30,4,u3,3035
31,5,t3,3040
32,6,u4,3042
33,7,t4,3047
34,8,u5,3059
35,9,t5,3064
36,10,u6,3170
37,11,t6,3175
38,12,u7,3187
39,13,t7,3192
40,0,u1,3194
41,1,t1,3199
42,2,u2,3211
43,3,t2,3216
44,4,u3,3228
45,5,t3,3233
46,6,u4,3235
47,7,t4,3240
48,8,u5,3252
49,9,t5,3257
50,10,u6,3363
51,11,t6,3368
52,12,u7,3380
53,13,t7,3385
54,6,u4,5832
55,7,t4,5837
56,8,u5,5849
57,9,t5,5854
58,10,u6,5960
59,11,t6,5965
60,12,u7,5977
61,13,t7,5982
62,6,u4,6025
63,7,t4,6030
64,8,u5,6042
65,9,t5,6047
66,10,u6,6153
67,11,t6,6158
68,12,u7,6170
69,13,t7,6175
70,0,u1,6177
71,1,t1,6182
72,2,u2,6194
73,3,t2,6199
74,4,u3,6211
75,5,t3,6216
76,0,u1,6218
77,1,t1,6223
78,2,u2,6235
79,3,t2,6240
80,4,u3,6252
81,5,t3,6257
82,6,u4,9008
83,7,t4,9013
84,8,u5,9025
85,9,t5,9030
86,10,u6,9136
87,11,t6,9141
88,12,u7,9153
89,13,t7,9158
90,0,u1,9160
91,1,t1,9165
92,2,u2,9177
93,3,t2,9182
94,4,u3,9194
95,5,t3,9199
96,0,u1,9201
97,1,t1,9206
98,2,u2,9218
99,3,t2,9223
100,4,u3,9235
101,5,t3,9240
102,6,u4,9242
103,7,t4,9247
104,8,u5,9259
105,9,t5,9264
106,10,u6,9370
107,11,t6,9375
108,12,u7,9387
109,13,t7,9392
110,6,u4,11991
111,7,t4,11996
112,8,u5,12008
113,9,t5,12013
114,10,u6,12119
115,11,t6,12124
116,12,u7,12136
117,13,t7,12141
118,0,u1,12143
119,1,t1,12148
120,2,u2,12160
121,3,t2,12165
122,4,u3,12177
123,5,t3,12182
124,0,u1,12184
125,1,t1,12189
126,2,u2,12201
127,3,t2,12206
128,4,u3,12218
129,5,t3,12223
130,6,u4,12225
131,7,t4,12230
132,8,u5,12242
133,9,t5,12247
134,10,u6,12353
135,11,t6,12358
136,12,u7,12370
137,13,t7,12375
138,6,u4,14974
139,7,t4,14979
140,8,u5,14991
141,9,t5,14996
142,10,u6,15102
143,11,t6,15107
144,12,u7,15119
145,13,t7,15124
146,0,u1,15126
147,1,t1,15131
148,2,u2,15143
149,3,t2,15148
150,4,u3,15160
151,5,t3,15165
152,0,u1,15167
153,1,t1,15172
154,2,u2,15184
155,3,t2,15189
156,4,u3,15201
157,5,t3,15206
158,6,u4,15208
159,7,t4,15213
160,8,u5,15225
161,9,t5,15230
162,10,u6,15336
163,11,t6,15341
164,12,u7,15353
165,13,t7,15358
166,6,u4,17957
167,7,t4,17962
168,8,u5,17974
169,9,t5,17979
170,10,u6,18085
171,11,t6,18090
172,12,u7,18102
173,13,t7,18107
174,6,u4,18109
175,7,t4,18114
176,8,u5,18126
177,9,t5,18131
178,10,u6,18237
179,11,t6,18242
180,12,u7,18254
181,13,t7,18259
