,actions,transition,time
0,0,u1,2
1,1,t1,7
2,2,u2,19
3,3,t2,24
4,4,u3,36
5,5,t3,41
6,0,u1,43
7,1,t1,48
8,2,u2,60
9,3,t2,65
10,4,u3,77
11,5,t3,82
12,0,u1,84
13,1,t1,89
14,2,u2,101
15,3,t2,106
16,4,u3,118
17,5,t3,123
18,6,u4,2833
19,7,t4,2838
20,8,u5,2850
21,9,t5,2855
22,10,u6,2961
23,11,t6,2966
24,12,u7,2978
25,13,t7,2983
26,0,u1,2985
27,1,t1,2990
28,2,u2,3002
29,3,t2,3007
30,4,u3,3019
31,5,t3,3024
32,0,u1,3026
33,1,t1,3031
34,2,u2,3043
35,3,t2,3048
36,4,u3,3060
37,5,t3,3065
38,6,u4,3067
39,7,t4,3072
40,8,u5,3084
41,9,t5,3089
42,10,u6,3195
43,11,t6,3200
44,12,u7,3212
45,13,t7,3217
46,0,u1,3219
47,1,t1,3224
48,2,u2,3236
49,3,t2,3241
50,4,u3,3253
51,5,t3,3258
52,6,u4,3260
53,7,t4,3265
54,8,u5,3277
55,9,t5,3282
56,10,u6,3388
57,11,t6,3393
58,12,u7,3405
59,13,t7,3410
60,6,u4,5816
61,7,t4,5821
62,8,u5,5833
63,9,t5,5838
64,10,u6,5944
65,11,t6,5949
66,12,u7,5961
67,13,t7,5966
68,0,u1,5968
69,1,t1,5973
70,2,u2,5985
71,3,t2,5990
72,4,u3,6002
73,5,t3,6007
74,0,u1,6009
75,1,t1,6014
76,2,u2,6026
77,3,t2,6031
78,4,u3,6043
79,5,t3,6048
80,6,u4,6050
81,7,t4,6055
82,8,u5,6067
83,9,t5,6072
84,10,u6,6178
85,11,t6,6183
86,12,u7,6195
87,13,t7,6200
88,0,u1,6202
89,1,t1,6207
90,2,u2,6219
91,3,t2,6224
92,4,u3,6236
93,5,t3,6241
94,6,u4,6243
95,7,t4,6248
96,8,u5,6260
97,9,t5,6265
98,10,u6,6371
99,11,t6,6376
100,12,u7,6388
101,13,t7,6393
102,0,u1,6395
103,1,t1,6400
104,2,u2,6412
105,3,t2,6417
106,4,u3,6429
107,5,t3,6434
108,6,u4,8799
109,7,t4,8804
110,8,u5,8816
111,9,t5,8821
112,10,u6,8927
113,11,t6,8932
114,12,u7,8944
115,13,t7,8949
116,6,u4,8951
117,7,t4,8956
118,8,u5,8968
119,9,t5,8973
120,10,u6,9079
121,11,t6,9084
122,12,u7,9096
123,13,t7,9101
124,0,u1,9103
125,1,t1,9108
126,2,u2,9120
127,3,t2,9125
128,4,u3,9137
129,5,t3,9142
130,6,u4,9144
131,7,t4,9149
132,8,u5,9161
133,9,t5,9166
134,10,u6,9272
135,11,t6,9277
136,12,u7,9289
137,13,t7,9294
138,0,u1,9296
139,1,t1,9301
140,2,u2,9313
141,3,t2,9318
142,4,u3,9330
143,5,t3,9335
144,6,u4,9337
145,7,t4,9342
146,8,u5,9354
147,9,t5,9359
148,10,u6,9465
149,11,t6,9470
150,12,u7,9482
151,13,t7,9487
152,6,u4,11934
153,7,t4,11939
154,0,u1,11941
155,1,t1,11946
156,2,u2,11958
157,3,t2,11963
158,4,u3,11975
159,8,u5,11977
160,9,t5,11982
161,10,u6,12088
162,5,t3,12090
163,11,t6,12093
164,12,u7,12105
165,13,t7,12110
166,6,u4,12127
167,7,t4,12132
168,8,u5,12144
169,9,t5,12149
170,10,u6,12255
171,11,t6,12260
172,12,u7,12272
173,13,t7,12277
174,6,u4,14882
175,7,t4,14887
176,8,u5,14899
177,9,t5,14904
178,10,u6,15010
179,11,t6,15015
180,12,u7,15027
181,13,t7,15032
